종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
COIN,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
ANET,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
HUM,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
AMD,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
PSKY,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
NVDA,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
WBD,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
DELL,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
TPR,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
CDNS,2025-08-19,시장가,9.0,0.0,15% 수익,15% 손절,없음,True
