종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
REG,2025-07-08,시장가,10.0,0.0,15% 수익,15% 손절,없음,True
STE,2025-07-08,시장가,10.0,0.0,13% 수익,15% 손절,없음,True
