symbol,company_name,skew_index,expected_return,confidence_score,base_confidence,data_source,data_quality_grade,confidence_numeric,quality_description
WBA,"Walgreens Boots Alliance, Inc.",-30.663755859374998,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
SBAC,SBA Communications Corporation,-19.82402050781249,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
HSY,The Hershey Company,-17.504707763671874,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
J,Jacobs Solutions Inc.,-15.84456811523437,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
EVRG,"Evergy, Inc.",-15.576016113281243,0.15,낮음,매우 높음,yfinance_fallback,C,70.0,품질 부족하지만 사용 가능한 데이터
MO,"Altria Group, Inc.",-11.962770996093749,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
AIG,"American International Group, Inc.",-9.496975341796881,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
CDNS,"Cadence Design Systems, Inc.",-7.2753178710937565,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
BG,Bunge Global SA,-6.2255236816406265,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
STX,Seagate Technology Holdings plc,-6.005799316406257,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
FSLR,"First Solar, Inc.",-5.541936767578138,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
ANET,Arista Networks Inc,-5.236764038085939,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
MPC,Marathon Petroleum Corporation,-5.200143310546873,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
EA,Electronic Arts Inc.,-4.809522216796874,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
CTVA,"Corteva, Inc.",-4.687453124999985,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
EMR,Emerson Electric Co.,-4.479935668945317,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
DHI,"D.R. Horton, Inc.",-4.467728759765627,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MGM,MGM Resorts International,-4.248004394531235,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
ON,ON Semiconductor Corporation,-4.101521484374981,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
WMB,"The Williams Companies, Inc.",-4.052693847656258,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
APH,Amphenol Corporation,-3.4789691162109393,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
WDC,Western Digital Corporation,-3.4423483886718675,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
VRSN,"VeriSign, Inc.",-3.4179345703125086,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
CVX,Chevron Corporation,-3.4179345703124975,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
EIX,Edison International,-3.320279296875006,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
ABNB,"Airbnb, Inc.",-3.1615894775390507,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MDLZ,"Mondelez International, Inc.",-3.07614111328125,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
DDOG,"Datadog, Inc.",-3.0028996582031287,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
NUE,Nucor Corporation,-2.941865112304681,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
DPZ,"Domino's Pizza, Inc.",-2.8747271118163997,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
SMCI,"Super Micro Computer, Inc.",-2.7587614746093836,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
UBER,"Uber Technologies, Inc.",-2.7587614746093725,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
MU,"Micron Technology, Inc.",-2.7343476562500024,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
FOXA,Fox Corporation,-2.6366923828125053,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
EBAY,eBay Inc.,-2.5146232910156217,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
NXPI,NXP Semiconductors N.V.,-2.416968017578125,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
INTC,Intel Corporation,-2.1484160156249987,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
PTC,PTC Inc.,-1.9408985595703199,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
DGX,Quest Diagnostics Incorporated,-1.8310363769531213,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
MNST,Monster Beverage Corporation,-1.5868981933593818,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
DG,Dollar General Corporation,-1.5868981933593707,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
DXCM,"DexCom, Inc.",-1.3183461914062278,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
KVUE,Kenvue Inc.,-1.1718632812500074,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
MOS,The Mosaic Company,-0.8788974609375111,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
AMD,"Advanced Micro Devices, Inc.",-0.744621459960948,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
META,"Meta Platforms, Inc.",-0.6469661865234233,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
APTV,Aptiv PLC,-0.6347592773437549,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
LDOS,"Leidos Holdings, Inc.",-0.6103454589843738,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
AXON,"Axon Enterprise, Inc.",-0.5279488220215067,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
DLTR,"Dollar Tree, Inc.",-0.4638625488281367,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CRL,"Charles River Laboratories International, Inc.",-0.41503491210939103,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
DELL,Dell Technologies Inc.,-0.4150349121093744,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CMCSA,Comcast Corporation,-0.2929658203124963,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
GEN,Gen Digital Inc.,-0.2929658203124963,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
COIN,"Coinbase Global, Inc.",-0.2807589111328168,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
GM,General Motors Company,-0.24413818359374506,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
FTNT,"Fortinet, Inc.",-0.2197243652343639,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
JBL,Jabil Inc.,-0.12206909179687253,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
AMAT,"Applied Materials, Inc.",-0.04882763671874568,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
