ticker,sector,close,volume,rs_score,momentum_score,core_signals,rsi_14,macd,macd_signal,adx,date,golden_cross,short_ma_aligned,long_ma_aligned,macd_crossover,macd_hist_increasing,rsi_uptrend,stoch_crossover,strong_trend,positive_trend,bollinger_breakout,volume_surge,new_high,price_momentum,cup_handle_breakout,healthy_ma_distance,uptrend_confirmed,above_30w_3d,stage_2a,vwap_breakout,obv_rising,ad_new_high,rs_rank,sector_strong,signal
PSIX,Industrials,64.41000366210938,544100,99.16,16,7,89.86416038468512,6.774586261800238,5.614764561155419,76.04248550886489,2025-06-25,False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
EVLV,Industrials,6.210000038146973,4846200,97.41,16,6,66.21622724605407,0.2671797573857084,0.24091240380916912,21.67565874840366,2025-06-25,False,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
SRAD,Technology,26.96999931335449,2802500,96.41,16,6,79.50962760264613,0.6517489611017382,0.4508796065481179,29.14426604398866,2025-06-25,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
BKTI,Technology,54.619998931884766,86500,98.25,15,7,72.2488024842003,1.8397421633434945,0.774362480533531,49.073452067446134,2025-06-25,False,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,False,True,True,True
FTEK,Industrials,2.3499999046325684,756400,98.07,15,6,74.14966642876159,0.22298599039699551,0.20545873581147298,49.5432624477834,2025-06-25,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
CAR,Industrials,171.86000061035156,3408100,98.09,15,5,87.01839381626752,11.015073631873435,8.001430354027361,22.643262131721063,2025-06-25,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
AEVA,Technology,29.96999931335449,3433300,99.62,14,6,76.44328967964519,3.715952628957183,3.3400807463948095,74.39952779945897,2025-06-25,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True
TSAT,Technology,25.93000030517578,229000,97.06,14,5,89.60829993695535,1.7828799798930213,0.772282054327105,55.08197702305074,2025-06-25,False,True,False,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
ISSC,Industrials,13.350000381469728,373700,97.34,13,6,71.36363488583545,1.010158470214515,1.059232983328622,63.278502139680384,2025-06-25,False,True,True,False,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True,True,True,True
TGEN,Industrials,7.320000171661377,763400,99.47,13,6,74.35388780254877,0.7779238740799341,0.7071867544640251,63.565579193478,2025-06-25,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True
BKSY,Industrials,17.579999923706055,3752200,97.83,12,4,80.25048563438234,1.1703212642143868,0.6825604606999957,20.614508710431714,2025-06-25,False,True,False,False,True,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
FEIM,Technology,22.399999618530277,377400,95.98,11,6,68.01152764153132,1.0152024350489839,0.6555649817993613,27.33961833178014,2025-06-25,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
BASE,Technology,24.40999984741211,2767200,95.84,11,4,80.31087202169599,1.3638837033351692,0.8280017850623004,22.276039181345492,2025-06-25,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True
BLBX,Technology,5.71999979019165,223200,97.69,10,6,68.18900742152195,0.5664546061033713,0.5134478436998776,62.88638560737328,2025-06-25,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,True,False,False,True,True,True
KTOS,Industrials,40.77000045776367,4895800,95.36,10,5,56.35400964466185,1.8377762026469213,1.8395330492587156,45.185056814114766,2025-06-25,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,False,True,True,True
