symbol,sector,rs_score,close_price,sma_30,volume_ratio,relative_strength,above_30w_ma,ma_trending_up,volume_surge,breakout_occurred,positive_rs,sustained_breakout,entry_type,obv_rising,healthy_pattern,resistance_level,market_favorable,date,screening_date
AFK,,86.29,21.56999969482422,17.998333231608072,2.1039331293597887,1.0151785258490287,True,True,True,True,True,True,A형,True,True,20.776500797271726,True,67,2025-08-04
AIBU,,91.96,45.5989990234375,34.62473335266113,2.055488274799075,1.0028494858174353,True,True,True,True,True,True,A형,True,True,44.08000144958496,True,62,2025-08-04
AIP,Technology,88.51,9.6899995803833,8.651333300272624,3.514382027296866,1.1310271617709282,True,True,True,True,True,True,A형,True,True,9.604499673843383,True,63,2025-08-03
AIR,Industrials,85.01,83.63999938964844,64.21866594950357,2.786718006114501,1.110532283777959,True,True,True,True,True,True,A형,True,True,82.10850028991699,True,66,2025-08-04
ALAI,,90.08,30.625,26.316900062561036,6.548545775825016,1.0218735245240114,True,True,True,True,True,True,A형,True,True,30.599499130249022,True,63,2025-08-04
ALNT,Technology,95.42,39.81999969482422,27.54333324432373,2.0293147473352295,1.0253624214506296,True,True,True,True,True,True,A형,True,True,38.37049942016601,True,66,2025-08-04
ARKF,,93.7,54.72999954223633,40.32766679128011,2.209887717409917,1.0663657634732562,True,True,True,True,True,True,A형,True,True,53.025201797485344,True,66,2025-08-04
ARKX,,92.4,27.39999961853028,20.4482666015625,4.608262276495736,1.0903927399318702,True,True,True,True,True,True,A형,True,True,26.2570499420166,True,66,2025-08-04
ARTY,,86.91,43.45000076293945,37.01733360290528,2.0109736460203966,1.0175436406567753,True,True,True,True,True,True,A형,True,True,40.92600173950195,True,68,2025-08-03
ASPI,Basic Materials,96.74,10.489999771118164,6.185166645050049,2.4422375622715258,1.3861446850581864,True,True,True,True,True,True,A형,True,True,10.278999710083008,True,66,2025-08-04
ATEC,Healthcare,93.5,13.770000457763672,11.213999938964843,2.2900961262357624,1.3041257697913031,True,True,True,True,True,True,A형,True,True,12.321500253677367,True,68,2025-08-04
ATFV,,89.62,30.475000381469727,25.963166618347167,2.742485280446235,1.0281791949018018,True,True,True,True,True,True,A형,True,True,29.00350065231323,True,68,2025-08-04
