ticker,sector,close,volume,rs_score,momentum_score,core_signals,rsi_14,macd,macd_signal,adx,date,golden_cross,short_ma_aligned,long_ma_aligned,macd_crossover,macd_hist_increasing,rsi_uptrend,stoch_crossover,strong_trend,positive_trend,bollinger_breakout,volume_surge,new_high,price_momentum,cup_handle_breakout,healthy_ma_distance,uptrend_confirmed,above_30w_3d,stage_2a,vwap_breakout,obv_rising,ad_new_high,rs_rank,sector_strong,signal
PGY,Technology,21.38999938964844,5343100,97.1,18,8,73.42995547444968,1.3590640464647485,1.284644094020355,39.97891882128986,2025-07-01,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
RDVT,Technology,50.959999084472656,270400,95.08,18,8,67.31770665177874,0.9426812367691966,0.8410392305862747,25.50177596298937,2025-07-01,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True
HWM,Industrials,184.8999938964844,23827800,96.15,18,7,66.76044847814774,4.907974582671983,4.858817384415678,11.482524123155553,2025-07-01,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
EVEX,Industrials,6.690000057220459,1246200,96.36,17,7,66.57754232280114,0.3468403676417413,0.30408242719199613,32.74847221616122,2025-07-01,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
KTOS,Industrials,45.84000015258789,16654500,96.5,16,8,64.19883388475984,1.862829314694892,1.8039463946384005,34.85970849577613,2025-07-01,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,False,True,True,True,True
TPC,Industrials,46.84999847412109,1280100,97.26,16,7,80.03839593723532,3.08135382480242,3.033577914467187,69.7543869534258,2025-07-01,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True
AEVA,Technology,36.43000030517578,5537300,99.61,16,6,83.31188009643934,4.60260835095422,3.7770750062879213,79.35415833289433,2025-07-01,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
CRS,Industrials,275.82000732421875,8630500,96.41,16,6,76.92920714662682,11.635109308715045,10.450298839820272,28.62991290395591,2025-07-01,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
SRAD,Technology,28.049999237060547,5186800,96.47,16,6,81.90630815066895,0.9474084621779539,0.6459366073180766,37.65096331360122,2025-07-01,False,True,True,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True
ISSC,Industrials,13.949999809265137,466800,97.61,15,7,73.2484030004902,1.0164212552702683,1.0295237508431356,57.215816181763785,2025-07-01,False,True,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
GEV,Industrials,519.6599731445312,9150300,97.25,15,6,65.03295571084958,19.24538810047062,19.779528081443154,24.59806796526649,2025-07-01,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True
CNVS,Communication Services,4.800000190734863,3343600,98.65,14,6,84.21051824375631,0.2419068462179057,0.19213912644596876,57.71983159981096,2025-07-01,False,True,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
JBL,Technology,217.3699951171875,3320000,95.9,14,6,93.13994338451042,13.986603898108626,11.305787501014922,59.648227664219114,2025-07-01,False,True,True,False,False,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True
MGNI,Communication Services,21.100000381469727,4738400,95.5,14,5,79.76189935558875,1.4033353640137882,1.1848489791117454,56.51242670044345,2025-07-01,False,True,True,False,True,False,False,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True
MIR,Industrials,21.709999084472656,9416900,95.57,14,5,63.9570518945061,0.8874300290728847,0.8515189614345007,53.990673449448416,2025-07-01,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True
AXON,Industrials,818.5999755859375,1010800,96.74,14,4,60.32898371201623,24.477196274280914,26.036040064211818,9.750274547166203,2025-07-01,False,True,True,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
DAVE,Technology,249.63999938964844,715200,99.22,13,5,61.09224616620107,15.720223316653772,15.877122248527824,24.806790739654797,2025-07-01,False,True,True,False,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,True
EVLV,Industrials,6.230000019073486,6666200,97.16,13,5,67.14976190388435,0.31908763076012114,0.2723736239762314,24.097794807061778,2025-07-01,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,True,True,True,True,True
SPOT,Communication Services,772.5999755859375,2793900,96.33,13,5,67.49997521776504,28.53382282521295,24.48023498982374,20.289553408008146,2025-07-01,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,True,True,False,False,True,True,True
LMB,Industrials,139.38999938964844,279200,96.98,12,7,55.35255433638771,4.8059243840634736,6.114172144453419,29.559882631968375,2025-07-01,False,False,True,False,False,True,True,True,True,False,True,False,False,False,True,True,True,True,True,True,False,True,True,True
FEIM,Technology,23.280000686645508,1250900,96.12,12,6,71.0393508471918,1.2102594279091576,0.8968131327939564,33.99312433532527,2025-07-01,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True
GHM,Industrials,50.56999969482422,191300,95.53,12,6,75.7048491719112,3.0756273884951852,2.924928058426302,80.16362992422253,2025-07-01,False,True,False,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,True,False,True,True,True
RKLB,Industrials,35.380001068115234,75749300,98.87,12,6,66.73575618032926,2.437439445389458,1.7123860780277487,37.504968742800386,2025-07-01,False,True,True,False,True,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
LLYVA,Communication Services,78.7699966430664,130600,94.2,12,4,57.779200661969504,1.2927469388137496,1.0661256544614468,24.822917538554773,2025-07-01,False,True,True,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True
LLYVK,Communication Services,80.44999694824219,689900,94.21,12,4,58.45408981029259,1.4039386073029192,1.1371532297445415,15.333805641779586,2025-07-01,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True
AMPX,Industrials,4.070000171661377,15846000,98.4,11,6,67.88991213654285,0.344746209566702,0.30497918468089225,58.227113503259595,2025-07-01,False,True,True,False,False,True,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
NEON,Technology,22.82999992370605,1797600,99.08,11,6,85.01392523831231,3.0965413516735936,2.2866264740001134,64.90767267589602,2025-07-01,False,True,True,False,False,False,True,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
GOGO,Communication Services,14.789999961853027,4260800,96.75,11,5,87.39836200687115,1.115253837942694,0.9431509703667246,50.32069854386471,2025-07-01,False,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,True,True,True,True,True,True
PSIX,Industrials,66.73999786376953,1514000,99.11,11,5,80.64309392399389,7.506640099214692,6.425823389235701,76.72830476607669,2025-07-01,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,True,True,True,True
STRL,Industrials,231.50999450683597,1018700,96.31,11,5,69.57654183243056,13.074100060745707,12.151902751102671,41.99515542939441,2025-07-01,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,True,True,True,True,True,False,True,True,True
ASTS,Technology,49.36000061035156,31720800,98.26,10,5,79.48718012212106,6.417074825613966,5.307690087458848,81.17668957902335,2025-07-01,False,True,True,False,False,False,False,True,True,False,True,False,True,False,False,True,True,True,True,False,False,True,True,True
