symbol,sector,rs_score,close_price,sma_30,volume_ratio,relative_strength,above_30w_ma,ma_trending_up,volume_surge,breakout_occurred,positive_rs,sustained_breakout,entry_type,obv_rising,healthy_pattern,resistance_level,market_favorable,date,screening_date
AFK,,86.51,21.56999969482422,17.998333231608072,2.1039331293597887,1.015178525849029,True,True,True,True,True,True,A형,True,True,20.88099956512451,True,65,2025-08-20
AIBU,,91.96,45.5989990234375,34.62473335266113,2.055488274799075,1.0028494858174353,True,True,True,True,True,True,A형,True,True,44.08000144958496,True,62,2025-08-17
AIR,Industrials,85.01,83.63999938964844,64.21866594950357,2.786718006114501,1.110532283777959,True,True,True,True,True,True,A형,True,True,82.10850028991699,True,66,2025-08-17
ALAI,,90.08,30.625,26.31690006256104,6.548545775825016,1.0218735245240114,True,True,True,True,True,True,A형,True,True,30.599499130249026,True,63,2025-08-17
ALNT,Technology,95.42,39.81999969482422,27.54333324432373,2.029314747335229,1.0253624214506296,True,True,True,True,True,True,A형,True,True,38.37049942016601,True,66,2025-08-17
AORT,Healthcare,93.39,42.810001373291016,28.785666720072427,2.230260022866301,1.0352503853210546,True,True,True,True,True,True,A형,True,True,41.77150115966797,True,68,2025-08-20
ARKF,,92.08,54.72999954223633,40.32766679128011,2.209887717409917,1.0663657634732562,True,True,True,True,True,True,A형,True,True,53.23800086975098,True,64,2025-08-20
ARKX,,90.69,27.39999961853028,20.4482666015625,4.608262276495736,1.0903927399318702,True,True,True,True,True,True,A형,True,True,26.2570499420166,True,64,2025-08-20
ASPI,Basic Materials,96.74,10.489999771118164,6.185166645050049,2.4422375622715258,1.3861446850581864,True,True,True,True,True,True,A형,True,True,10.278999710083008,True,66,2025-08-17
ATEC,Healthcare,93.5,13.770000457763672,11.213999938964845,2.2900961262357624,1.3041257697913031,True,True,True,True,True,True,A형,True,True,12.321500253677367,True,68,2025-08-17
ATFV,,89.62,30.475000381469727,25.963166618347167,2.742485280446235,1.0281791949018018,True,True,True,True,True,True,A형,True,True,29.00350065231323,True,68,2025-08-17
AWI,Industrials,85.06,188.5200042724609,151.87966562906902,2.527289617230736,1.1462180394775556,True,True,True,True,True,True,A형,True,True,187.18799362182617,True,66,2026-01-22
AXSM,Healthcare,92.38,178.69000244140625,125.40916697184245,2.0530097503640676,1.1874879427417995,True,True,True,True,True,True,A형,True,True,175.17525405883785,True,66,2026-01-22
BE,Industrials,97.85,34.34000015258789,22.47800006866455,2.2750862279452395,1.3536162483114618,True,True,True,True,True,True,A형,True,True,33.040049362182614,True,67,2025-08-17
BILI,Communication Services,90.16,32.47999954223633,25.516333389282227,2.2578248458777783,1.1173525345483515,True,True,True,True,True,True,A형,True,True,27.830250072479245,True,68,2026-01-22
BKTI,Technology,97.12,65.27999877929688,40.37166652679444,2.580560692601018,1.6124941694474766,True,True,True,True,True,True,A형,True,True,62.92799797058105,True,68,2025-08-20
BLFY,Financial Services,87.84,12.619999885559082,9.348666636149089,3.566021719916341,1.0073063247340202,True,True,True,True,True,True,A형,True,True,12.473500108718872,True,64,2026-01-22
BOTT,,93.42,53.09000015258789,37.86713326772054,2.6042372061526553,1.1910614573916243,True,True,True,True,True,True,A형,True,True,50.54000072479248,True,68,2026-01-22
BPAY,,87.95,33.42900085449219,27.39506664276123,3.227045716480984,1.0414818562479138,True,True,True,True,True,True,A형,True,True,32.413998985290526,True,66,2025-08-17
BPMC,Healthcare,87.14,127.95999908447266,97.04700063069662,2.5569619978575706,1.004448086356521,True,True,True,True,True,True,A형,True,True,123.01550521850585,True,63,2026-01-22
BUZZ,,87.13,32.64500045776367,25.86400006612142,4.63390874020964,1.0467573784196638,True,True,True,True,True,True,A형,True,True,31.28350028991699,True,64,2025-08-20
BWAY,Healthcare,89.22,12.979999542236328,10.542666657765706,2.410960808268271,1.0930031666664783,True,True,True,True,True,True,A형,True,True,12.972249746322632,True,68,2026-01-22
BWFG,Financial Services,88.27,39.09000015258789,32.868666648864746,2.310257589696412,1.0713293048120534,True,True,True,True,True,True,A형,True,True,38.19949913024902,True,68,2025-08-17
BWMN,Industrials,91.67,36.130001068115234,25.16733328501384,2.382047816396495,1.1305630184583078,True,True,True,True,True,True,A형,True,True,35.4730001449585,True,67,2025-08-17
BWMX,Consumer Cyclical,92.2,16.149999618530273,12.874666627248128,2.1040532034264756,1.0041927972185207,True,True,True,True,True,True,A형,True,True,15.883999347686768,True,67,2026-01-22
CHAT,,89.75,49.90999984741211,40.990199915568034,2.015259428405734,1.0297979347295756,True,True,True,True,True,True,A형,True,True,48.68274898529052,True,66,2025-08-17
CHN,Financial Services,87.31,16.350000381469727,13.31766668955485,4.1678580069061075,1.0202225458323597,True,True,True,True,True,True,A형,True,True,15.636999130249023,True,68,2026-01-22
CMPO,Industrials,93.53,25.1200008392334,18.824666913350423,3.5497703024648133,1.1370107982866886,True,True,True,True,True,True,A형,True,True,24.65250072479248,True,68,2026-01-22
CNEQ,,88.9,29.350000381469727,25.75296649932861,2.97920486910382,1.0163139255758376,True,True,True,True,True,True,A형,True,True,29.298000144958493,True,63,2025-08-17
COLO,,87.4,37.95000076293945,33.37399984995524,3.7201976707221918,1.0575881990437683,True,True,True,True,True,True,A형,True,True,36.70799942016601,True,67,2026-01-22
COMM,Technology,98.39,15.579999923706056,6.065833346048991,4.071904971980272,1.951473611380253,True,True,True,True,True,True,A형,True,True,15.057500362396242,True,67,2025-08-20
COUR,Consumer Defensive,93.67,12.369999885559082,8.25133334795634,3.784500643527716,1.3941830312285337,True,True,True,True,True,True,A형,True,True,11.865499782562257,True,67,2025-08-17
CPSH,Technology,96.02,5.429999828338623,3.377000013987223,2.161077584482488,1.4491809161700195,True,True,True,True,True,True,A형,True,True,5.215499782562255,True,68,2026-01-22
