symbol,added_date,added_timestamp,sector,rs_score,close_price,sma_30,volume_ratio,relative_strength,above_30w_ma,ma_trending_up,volume_surge,breakout_occurred,positive_rs,sustained_breakout,entry_type,obv_rising,healthy_pattern,resistance_level,market_favorable,date,screening_date
AWI,2025-08-03 00:00:00+00:00,1754154517.326193,Industrials,89.3,188.1699981689453,151.8679987589518,2.2443505190626443,1.1253378758644152,True,True,True,True,True,True,A형,True,True,162.31700057983397,True,68,2025-08-02
ARTY,2025-08-03 00:00:00+00:00,1754154517.326213,,86.91,43.45000076293945,37.01733360290528,2.0109736460203966,1.0175436406567753,True,True,True,True,True,True,A형,True,True,40.92600173950195,True,68,2025-08-02
PFGC,2025-08-03 00:00:00+00:00,1754154517.326226,Consumer Defensive,86.49,98.77999877929688,84.40933278401693,2.5088749819939498,1.0352990271444846,True,True,True,True,True,True,A형,True,True,95.9975028991699,True,66,2025-08-02
FFTY,2025-08-03 00:00:00+00:00,1754154517.326236,,86.24,34.22999954223633,29.662000147501622,2.0355844077780785,1.0177537318113985,True,True,True,True,True,True,A형,True,True,32.56599884033203,True,68,2025-08-02
MIR,2025-08-03 00:00:00+00:00,1754154517.326245,Industrials,94.4,21.709999084472656,16.74633321762085,2.2126435490400245,1.068311576169316,True,True,True,True,True,True,A형,True,True,21.10899934768676,True,63,2025-08-02
FIG,2025-08-03 00:00:00+00:00,1754154517.326253,,99.1,23.246999740600582,21.669499842325845,3.7712833545108007,1.0119990119380258,True,True,True,True,True,True,A형,True,True,22.63375072479248,True,63,2025-08-02
VRNA,2025-08-03 00:00:00+00:00,1754154517.32626,Healthcare,97.89,104.83000183105467,67.41499926249186,8.575453325871253,1.1484665042692137,True,True,True,True,True,True,A형,True,True,100.225,True,65,2025-08-02
COUR,2025-08-03 00:00:00+00:00,1754154517.326269,Consumer Defensive,93.4,12.369999885559082,8.25133334795634,3.784500643527716,1.3941830312285337,True,True,True,True,True,True,A형,True,True,11.865499782562257,True,67,2025-08-02
WNS,2025-08-03 00:00:00+00:00,1754154517.326277,Technology,88.93,74.69999694824219,58.22100003560384,8.522574151260399,1.145702557397987,True,True,True,True,True,True,A형,True,True,71.33549652099609,True,65,2025-08-02
VERV,2025-08-03 00:00:00+00:00,1754154517.326285,Healthcare,95.72,11.0600004196167,6.009500002861023,5.848390890040268,1.8036723060059945,True,True,True,True,True,True,A형,True,True,10.83474974632263,True,63,2025-08-02
FNGO,2025-08-03 00:00:00+00:00,1754154517.326293,,92.15,109.39700317382812,89.4863338470459,2.22425484939284,1.009066240412688,True,True,True,True,True,True,A형,True,True,107.35,True,66,2025-08-02
OLO,2025-08-03 00:00:00+00:00,1754154517.326301,Technology,95.36,10.119999885559082,7.525333309173584,5.256249357277922,1.1544325312967192,True,True,True,True,True,True,A형,True,True,9.651999855041504,True,64,2025-08-02
ODDS,2025-08-03 00:00:00+00:00,1754154517.32631,,88.28,32.54999923706055,28.147599983215333,2.110410875165558,1.0157748062349774,True,True,True,True,True,True,A형,True,True,30.81799869537353,True,68,2025-08-02
PSIL,2025-08-03 00:00:00+00:00,1754154517.326319,,91.76,17.204999923706055,13.122066593170166,2.427836966924306,1.032150526560763,True,True,True,True,True,True,A형,True,True,16.5394998550415,True,67,2025-08-02
ISSC,2025-08-03 00:00:00+00:00,1754154517.326326,Industrials,97.22,16.1299991607666,9.469666624069214,3.853394373995597,1.1855191218434764,True,True,True,True,True,True,A형,True,True,15.978999710083007,True,66,2025-08-02
PVLA,2025-08-03 00:00:00+00:00,1754154517.326333,Healthcare,96.95,38.619998931884766,22.45816644032796,2.5918701287931896,1.2891532944480957,True,True,True,True,True,True,A형,True,True,37.34829921722412,True,67,2025-08-02
ALNT,2025-08-03 00:00:00+00:00,1754154517.326341,Technology,95.91,39.81999969482422,27.54333324432373,2.029314747335229,1.0253624214506296,True,True,True,True,True,True,A형,True,True,38.37049942016601,True,66,2025-08-02
AIP,2025-08-03 00:00:00+00:00,1754154517.326351,Technology,88.51,9.6899995803833,8.651333300272624,3.514382027296866,1.1310271617709282,True,True,True,True,True,True,A형,True,True,9.604499673843383,True,63,2025-08-02
TPB,2025-08-03 00:00:00+00:00,1754154517.326358,Consumer Defensive,94.48,78.13999938964844,65.93766733805339,2.0851532840756013,1.0745493313869945,True,True,True,True,True,True,A형,True,True,77.1875,True,66,2025-08-02
RMNI,2025-08-03 00:00:00+00:00,1754154517.326366,Technology,95.47,5.239999771118164,3.3163333336512246,3.0168709575286083,1.260060511277385,True,True,True,True,True,True,A형,True,True,5.111000108718872,True,65,2025-08-02
LASR,2025-08-03 00:00:00+00:00,1754154517.326373,Technology,97.12,19.6299991607666,11.24666674931844,2.140355194025098,1.090311622240797,True,True,True,True,True,True,A형,True,True,19.34200057983398,True,63,2025-08-02
FSS,2025-08-03 00:00:00+00:00,1754154517.326381,Industrials,91.4,126.56999969482422,93.0143330891927,2.1130258785117566,1.172781907142637,True,True,True,True,True,True,A형,True,True,108.68000144958496,True,68,2025-08-02
INDV,2025-08-03 00:00:00+00:00,1754154517.326389,Healthcare,95.84,17.139999389648438,11.767999935150147,2.500917195517699,1.0545835246295914,True,True,True,True,True,True,A형,True,True,16.3875,True,67,2025-08-02
BE,2025-08-03 00:00:00+00:00,1754154517.326395,Industrials,97.87,34.34000015258789,22.47800006866455,2.2750862279452395,1.3536162483114618,True,True,True,True,True,True,A형,True,True,33.040049362182614,True,67,2025-08-02
MISL,2025-08-03 00:00:00+00:00,1754154517.326405,,85.47,39.43999862670898,32.4792999903361,2.034435497687168,1.035706463425508,True,True,True,True,True,True,A형,True,True,37.81950130462646,True,66,2025-08-02
ASPI,2025-08-03 00:00:00+00:00,1754154517.326412,Basic Materials,97.01,10.489999771118164,6.185166645050049,2.4422375622715258,1.3861446850581864,True,True,True,True,True,True,A형,True,True,10.278999710083008,True,66,2025-08-02
SOC,2025-08-03 00:00:00+00:00,1754154517.32642,Energy,93.36,31.690000534057617,24.602000109354652,2.1936492827724074,1.403924948860239,True,True,True,True,True,True,A형,True,True,31.625500869750976,True,66,2025-08-02
BWMN,2025-08-03 00:00:00+00:00,1754154517.326428,Industrials,92.06,36.130001068115234,25.16733328501384,2.382047816396495,1.1305630184583078,True,True,True,True,True,True,A형,True,True,35.4730001449585,True,67,2025-08-02
ARKX,2025-08-03 00:00:00+00:00,1754154517.326436,,92.62,27.39999961853028,20.4482666015625,4.608262276495736,1.0903927399318702,True,True,True,True,True,True,A형,True,True,26.2570499420166,True,66,2025-08-02
IQM,2025-08-03 00:00:00+00:00,1754154517.326445,,86.92,78.96800231933594,66.78356679280598,2.323307234411199,1.0136799046894518,True,True,True,True,True,True,A형,True,True,74.73649826049804,True,68,2025-08-02
CNEQ,2025-08-03 00:00:00+00:00,1754154517.326453,,89.68,29.350000381469727,25.75296649932861,2.97920486910382,1.0163139255758376,True,True,True,True,True,True,A형,True,True,29.298000144958493,True,63,2025-08-02
