symbol,added_date,added_timestamp,sector,rs_score,close_price,sma_30,volume_ratio,relative_strength,above_30w_ma,ma_trending_up,volume_surge,breakout_occurred,positive_rs,sustained_breakout,entry_type,obv_rising,healthy_pattern,resistance_level,market_favorable,date,screening_date
XGN,2025-08-18 00:00:00+00:00,1755451583.665203,Healthcare,98.01,8.630000114440918,5.397333335876465,3.3075077825995822,1.216435713934224,True,True,True,True,True,True,A형,True,True,7.55249981880188,True,68,2025-08-17
IRMD,2025-08-18 00:00:00+00:00,1755451583.665223,Healthcare,88.29,60.84000015258789,55.17633349100749,2.1533615990308905,1.0095955481715146,True,True,True,True,True,True,A형,True,True,59.1375,True,63,2025-08-17
BPAY,2025-08-18 00:00:00+00:00,1755451583.665236,,87.95,33.42900085449219,27.39506664276123,3.227045716480984,1.0414818562479138,True,True,True,True,True,True,A형,True,True,32.413998985290526,True,66,2025-08-17
BPMC,2025-08-18 00:00:00+00:00,1755451583.665245,Healthcare,91.69,127.95999908447266,97.04700063069662,2.5569619978575706,1.004448086356521,True,True,True,True,True,True,A형,True,True,123.01550521850584,True,63,2025-08-17
AWI,2025-08-18 00:00:00+00:00,1755451583.665255,Industrials,90.03,188.5200042724609,151.87966562906902,2.527289617230736,1.1462180394775556,True,True,True,True,True,True,A형,True,True,162.31700057983397,True,68,2025-08-17
JOBY,2025-08-18 00:00:00+00:00,1755451583.665263,Industrials,98.17,17.780000686645508,8.063666725158692,2.985026774634378,1.4674260102244712,True,True,True,True,True,True,A형,True,True,17.62249927520752,True,66,2025-08-17
COUR,2025-08-18 00:00:00+00:00,1755451583.665272,Consumer Defensive,93.67,12.369999885559082,8.25133334795634,3.784500643527716,1.3941830312285337,True,True,True,True,True,True,A형,True,True,11.865499782562257,True,67,2025-08-17
GAMR,2025-08-18 00:00:00+00:00,1755451583.665282,,89.92,84.53700256347656,70.35200030008951,2.2089656549520766,1.0218733972518972,True,True,True,True,True,True,A형,True,True,83.13924942016601,True,63,2025-08-17
ECNS,2025-08-18 00:00:00+00:00,1755451583.66529,,90.06,35.380001068115234,28.379333432515462,4.696000314008714,1.009598198864811,True,True,True,True,True,True,A형,True,True,33.95300159454346,True,67,2025-08-17
SOC,2025-08-18 00:00:00+00:00,1755451583.665299,Energy,93.01,31.690000534057617,24.602000109354652,2.1936492827724074,1.403924948860239,True,True,True,True,True,True,A형,True,True,31.625500869750976,True,66,2025-08-17
TOYO,2025-08-18 00:00:00+00:00,1755451583.665306,Technology,97.26,6.099999904632568,3.3478333314259845,6.772640911969601,1.708363165116665,True,True,True,True,True,True,A형,True,True,3.70500009059906,True,68,2025-08-17
