symbol,met_count,fin_met_count,total_met_count,rs_score
DCTH,8,7,15,97.15815485996706
MSGM,8,6,14,98.93945634266886
DAVE,8,6,14,98.72322899505768
PLTR,8,6,14,98.20840197693576
LEDS,8,6,14,98.15691927512356
FENC,8,6,14,98.02306425041186
XPEV,8,6,14,97.1993410214168
PLMR,8,6,14,96.35502471169688
FEIM,8,6,14,96.32413509060956
HCI,8,6,14,96.29324546952223
UGI,8,6,14,96.01523887973642
BCRX,8,6,14,95.8504942339374
SE,8,6,14,95.51070840197694
PLYA,8,6,14,95.5004118616145
ZLAB,8,6,14,92.17462932454696
PHYS,8,6,14,92.10255354200989
ZS,8,6,14,91.9995881383855
BTSG,8,6,14,91.79365733113671
CEF,8,6,14,89.83731466227347
TG,8,6,14,88.15897858319605
AJG,8,6,14,87.79859967051071
DASH,8,6,14,87.39703459637562
HG,8,6,14,85.7495881383855
CRMD,8,6,14,84.69934102141681
QURE,8,5,13,98.8673805601318
LFMD,8,5,13,98.41433278418452
ATRO,8,5,13,97.90980230642504
AS,8,5,13,97.87891268533772
ICCC,8,5,13,97.59060955518946
ODD,8,5,13,97.48764415156508
OKTA,8,5,13,97.40527182866558
EYE,8,5,13,97.38467874794068
DUOL,8,5,13,97.03459637561778
SIEB,8,5,13,97.02429983525536
CGNT,8,5,13,96.59184514003294
TME,8,5,13,96.47858319604612
KGC,8,5,13,95.92257001647448
SEZL,8,5,13,95.74752883031302
TIGO,8,5,13,95.61367380560132
ZK,8,5,13,95.35626029654036
BROS,8,5,13,94.99588138385504
NFLX,8,5,13,94.89291598023064
GROY,8,5,13,94.54283360790774
ISSC,8,5,13,94.48105436573312
CHWY,8,5,13,94.30601317957166
BSAC,8,5,13,93.55436573311368
CAH,8,5,13,93.49258649093905
STRT,8,5,13,93.11161449752883
FSEA,8,5,13,92.95716639209226
KEP,8,5,13,92.27759472817134
NEXN,8,5,13,92.22611202635916
TTMI,8,5,13,92.20551894563428
NTGR,8,5,13,91.93780889621088
COMM,8,5,13,91.23764415156508
AHR,8,5,13,91.165568369028
WWD,8,5,13,90.98023064250413
PAYC,8,5,13,90.95963756177925
TWLO,8,5,13,90.83607907743
EHC,8,5,13,90.41392092257
SKWD,8,5,13,89.55930807248764
CTVA,8,5,13,89.50782537067545
MMM,8,5,13,88.91062602965404
RELY,8,5,13,86.99546952224053
MNDY,8,5,13,86.51153212520593
DRVN,8,5,13,82.18698517298188
ROAD,8,5,13,82.05313014827018
SAH,8,5,13,81.56919275123559
C,8,5,13,81.12644151565074
QBTS,8,4,12,99.8867380560132
TDUP,8,4,12,99.76317957166393
MVST,8,4,12,99.6808072487644
NUTX,8,4,12,99.67051070840198
RGLS,8,4,12,99.6499176276771
CURI,8,4,12,99.38220757825373
OCFT,8,4,12,99.20716639209226
ALTS,8,4,12,99.1659802306425
TVRD,8,4,12,99.1350906095552
XYF,8,4,12,99.0012355848435
ASM,8,4,12,98.80560131795716
JFIN,8,4,12,98.28047775947282
VRNA,8,4,12,98.10543657331137
HRTG,8,4,12,98.09514003294892
HOOD,8,4,12,97.94069192751236
CPSH,8,4,12,97.65238879736408
UTI,8,4,12,97.60090609555188
AU,8,4,12,97.5494233937397
CVAC,8,4,12,97.42586490939044
NET,8,4,12,97.250823723229
NRG,8,4,12,97.18904448105437
FARO,8,4,12,97.16845140032947
GOGO,8,4,12,97.10667215815486
PRPO,8,4,12,96.96252059308073
FTEK,8,4,12,96.85955518945634
AKBA,8,4,12,96.71540362438222
NXT,8,4,12,96.65362438220758
OSIS,8,4,12,96.2829489291598
FROG,8,4,12,95.69604612850084
SLM,8,4,12,95.45922570016474
BA,8,4,12,95.26359143327842
AEM,8,4,12,95.17092257001649
CLS,8,4,12,94.8826194398682
MELI,8,4,12,94.84143327841844
ELVA,8,4,12,94.81054365733114
OLO,8,4,12,94.76935749588138
WPM,8,4,12,94.68698517298188
BCS,8,4,12,94.62520593080724
IPI,8,4,12,94.4501647446458
AGX,8,4,12,94.14126853377265
COOP,8,4,12,93.72940691927512
NFG,8,4,12,93.67792421746294
JBL,8,4,12,93.585255354201
DE,8,4,12,93.5028830313015
ATAT,8,4,12,93.37932454695222
PBI,8,4,12,93.2660626029654
CCEC,8,4,12,92.998352553542
MNSO,8,4,12,92.82331136738055
OR,8,4,12,92.72034596375616
COE,8,4,12,92.6173805601318
ASR,8,4,12,92.60708401976936
IFS,8,4,12,92.44233937397036
CEG,8,4,12,92.16433278418452
PODD,8,4,12,91.71128500823724
AR,8,4,12,91.65980230642504
CVNA,8,4,12,91.2170510708402
BOSC,8,4,12,91.15527182866558
APH,8,4,12,90.77429983525536
BLX,8,4,12,90.44481054365733
CYBR,8,4,12,90.04324546952223
AXON,8,4,12,90.01235584843492
BTSGU,8,4,12,89.97116968698518
TPB,8,4,12,89.91968698517299
BHF,8,4,12,89.1989291598023
MAG,8,4,12,88.99299835255354
ATAI,8,4,12,88.86943986820428
PRDO,8,4,12,88.72528830313014
IDCC,8,4,12,88.62232289950576
GPOR,8,4,12,88.37520593080724
BMI,8,4,12,88.30313014827018
IBN,8,4,12,87.04695222405272
META,8,4,12,86.9851729818781
LLYVA,8,4,12,86.9336902800659
CPRX,8,4,12,86.52182866556836
LLYVK,8,4,12,86.32619439868205
TLN,8,4,12,85.14209225700165
ONON,8,4,12,84.23599670510708
AVPT,8,4,12,83.3504942339374
TGS,8,4,12,82.95922570016474
CXDO,8,4,12,82.66062602965404
BWAY,8,4,12,81.8986820428336
NRIM,8,4,12,81.32207578253706
OPY,8,4,12,80.85873146622735
TOI,8,3,11,99.9176276771005
TGEN,8,3,11,99.59843492586492
AEVA,8,3,11,99.47487644151563
PRCH,8,3,11,99.2174629324547
DVS,8,3,11,99.19686985172982
NCL,8,3,11,99.18657331136738
MBOT,8,3,11,98.98064250411862
XNET,8,3,11,98.92915980230642
EOSE,8,3,11,98.84678747940691
BSGM,8,3,11,98.5172981878089
CFSB,8,3,11,98.37314662273477
ALLT,8,3,11,98.31136738056011
ADPT,8,3,11,98.27018121911036
URBN,8,3,11,98.21869851729818
ETON,8,3,11,98.14662273476112
FORD,8,3,11,98.1157331136738
FTK,8,3,11,97.93039538714991
DAO,8,3,11,97.76565074135092
MPAA,8,3,11,97.47734761120265
VEON,8,3,11,97.4670510708402
CDTX,8,3,11,97.27141680395388
IONQ,8,3,11,97.26112026359144
GRND,8,3,11,97.00370675453048
CPS,8,3,11,96.84925864909393
DUOT,8,3,11,96.75658978583196
BBVA,8,3,11,96.74629324546952
APEI,8,3,11,96.499176276771
LRN,8,3,11,96.48887973640856
NGD,8,3,11,96.44769357495882
WOR,8,3,11,96.37561779242174
SNT,8,3,11,96.36532125205932
SIBN,8,3,11,96.334431630972
SOC,8,3,11,96.31383855024713
CHEF,8,3,11,96.2005766062603
ATGE,8,3,11,96.08731466227349
VZLA,8,3,11,96.05642504118616
HNRG,8,3,11,96.02553542009883
PRA,8,3,11,95.66515650741351
CCRD,8,3,11,95.65485996705108
RDVT,8,3,11,95.64456342668863
FPH,8,3,11,95.582784184514
HWM,8,3,11,95.38714991762768
KD,8,3,11,95.34596375617792
NEUE,8,3,11,95.21210873146624
ODC,8,3,11,95.18121911037892
MOS,8,3,11,95.03706754530478
SPOT,8,3,11,94.9855848434926
ULS,8,3,11,94.97528830313014
TGI,8,3,11,94.95469522240528
AZ,8,3,11,94.94439868204284
SRAD,8,3,11,94.90321252059309
PM,8,3,11,94.72817133443164
GEV,8,3,11,94.64579901153212
WILC,8,3,11,94.51194398682044
BJ,8,3,11,94.501647446458
FER,8,3,11,94.3163097199341
LARK,8,3,11,94.15156507413508
TISI,8,3,11,94.1000823723229
NCSM,8,3,11,94.02800658978585
ATEC,8,3,11,93.8014827018122
FUTU,8,3,11,93.35873146622735
SPNT,8,3,11,93.33813838550246
APG,8,3,11,93.22487644151563
REVG,8,3,11,93.08072487644152
BZ,8,3,11,93.02924217462932
EMX,8,3,11,92.9674629324547
LZ,8,3,11,92.94686985172982
DRI,8,3,11,92.93657331136738
LMB,8,3,11,92.87479406919276
HURN,8,3,11,92.55560131795716
YSG,8,3,11,92.4011532125206
EXEL,8,3,11,92.246705107084
NC,8,3,11,92.23640856672158
AZO,8,3,11,92.12314662273477
RNW,8,3,11,92.06136738056011
BBAR,8,3,11,91.90691927512356
CKPT,8,3,11,91.89662273476112
DGICB,8,3,11,91.85543657331137
WRLD,8,3,11,91.80395387149916
SXT,8,3,11,91.74217462932457
CRS,8,3,11,91.69069192751236
IDT,8,3,11,91.61861614497528
ESE,8,3,11,91.60831960461286
EAT,8,3,11,91.54654036243822
LOMA,8,3,11,91.48476112026358
BJRI,8,3,11,91.330313014827
PAC,8,3,11,91.30971993410212
JOYY,8,3,11,91.22734761120265
EPSN,8,3,11,91.0831960461285
COR,8,3,11,90.88756177924218
FOXA,8,3,11,90.79489291598024
NATH,8,3,11,90.67133443163095
TPC,8,3,11,90.49629324546952
EXE,8,3,11,90.37273476112028
MGYR,8,3,11,90.25947281713344
FFIV,8,3,11,90.07413509060956
CNM,8,3,11,89.89909390444811
FORTY,8,3,11,89.88879736408568
PSMT,8,3,11,89.85790774299835
AL,8,3,11,89.84761120263592
UVE,8,3,11,89.6828665568369
ESP,8,3,11,89.65197693574959
TXNM,8,3,11,89.5181219110379
CBNK,8,3,11,89.30189456342669
AMPL,8,3,11,89.27100494233937
EPR,8,3,11,89.2504118616145
CSGS,8,3,11,89.18863261943987
FOX,8,3,11,88.94151565074135
AXS,8,3,11,88.89003294892916
NTNX,8,3,11,88.83855024711697
HFFG,8,3,11,88.75617792421747
DRS,8,3,11,88.55024711696869
RBA,8,3,11,88.52965403624383
PEGA,8,3,11,88.46787479406919
UAN,8,3,11,88.29283360790774
PSIX,8,3,11,88.2825370675453
MUFG,8,3,11,88.1486820428336
HDB,8,3,11,88.11779242174629
BK,8,3,11,87.94275123558485
KAR,8,3,11,87.56177924217464
USFD,8,3,11,87.44851729818781
UI,8,3,11,87.40733113673805
SSYS,8,3,11,87.24258649093905
RTX,8,3,11,86.5012355848435
CAKE,8,3,11,86.3158978583196
NIC,8,3,11,85.85255354200989
LBRDK,8,3,11,85.84225700164745
RBC,8,3,11,85.50247116968698
LBRDA,8,3,11,85.44069192751236
IBKR,8,3,11,85.42009884678748
LOGC,8,3,11,85.37891268533772
PAYX,8,3,11,84.99794069192751
VIASP,8,3,11,84.44192751235585
BMO,8,3,11,84.24629324546952
MIR,8,3,11,83.55642504118617
GGAL,8,3,11,83.34019769357496
FVRR,8,3,11,83.28871499176277
KEN,8,3,11,83.02100494233937
DOCU,8,3,11,82.81507413509061
CSV,8,3,11,82.72240527182866
UPWK,8,3,11,82.67092257001647
SOLV,8,3,11,82.46499176276771
SSNC,8,3,11,82.36202635914333
ADP,8,3,11,82.19728171334431
DLO,8,3,11,82.166392092257
MFG,8,3,11,82.13550247116969
MYRG,8,3,11,81.9501647446458
LYV,8,3,11,81.58978583196046
BKNG,8,3,11,81.4971169686985
TW,8,3,11,81.27059308072488
GAN,8,3,11,81.17792421746294
PLNT,8,3,11,81.14703459637562
KEYS,8,3,11,80.4159802306425
GPI,8,3,11,80.38509060955519
SEIC,8,3,11,80.36449752883031
MO,8,3,11,80.09678747940691
DFDV,8,2,10,100.0
QVCGB,8,2,10,99.97940691927512
CTEV,8,2,10,99.66021416803954
HSAI,8,2,10,99.58813838550246
SATX,8,2,10,99.2998352553542
PNBK,8,2,10,99.14538714991762
GRPN,8,2,10,99.12479406919276
RPID,8,2,10,99.04242174629324
VGZ,8,2,10,98.47611202635916
ACHR,8,2,10,98.40403624382208
RBRK,8,2,10,98.39373970345964
DAN,8,2,10,98.3834431630972
NPCE,8,2,10,98.22899505766064
NVCT,8,2,10,98.18780889621088
SSRM,8,2,10,98.13632619439868
IRTC,8,2,10,98.07454695222404
AP,8,2,10,97.8480230642504
THM,8,2,10,97.79654036243822
DB,8,2,10,97.49794069192752
CRK,8,2,10,97.35378912685336
XERS,8,2,10,97.08607907743
RBLX,8,2,10,96.82866556836905
SNOW,8,2,10,96.73599670510708
LYG,8,2,10,96.53006589785832
SAND,8,2,10,96.40650741350906
FRHC,8,2,10,96.17998352553542
IBEX,8,2,10,95.95345963756178
CTRN,8,2,10,95.94316309719936
TITN,8,2,10,95.78871499176276
SUPV,8,2,10,95.71663920922568
KTOS,8,2,10,95.37685337726523
AVGO,8,2,10,95.2327018121911
PHAR,8,2,10,95.20181219110378
LEU,8,2,10,94.8517298187809
NAGE,8,2,10,94.69728171334432
SONY,8,2,10,94.43986820428336
FMS,8,2,10,94.17215815485996
DC,8,2,10,94.00741350906095
NRSN,8,2,10,93.9353377265239
KARO,8,2,10,93.88385502471168
CMP,8,2,10,93.64703459637562
NOK,8,2,10,93.5337726523888
EXEEL,8,2,10,93.41021416803954
HSBC,8,2,10,93.27635914332784
TFPM,8,2,10,92.98805601317956
TENX,8,2,10,92.89538714991762
EQT,8,2,10,92.86449752883031
RKLB,8,2,10,92.74093904448104
EXEEZ,8,2,10,92.69975288303132
EXEEW,8,2,10,92.67915980230642
CRWD,8,2,10,92.63797364085669
BKTI,8,2,10,91.98929159802306
WDH,8,2,10,91.97899505766064
SRBK,8,2,10,91.32001647446458
WLDN,8,2,10,91.2685337726524
PHX,8,2,10,91.18616144975287
FWONA,8,2,10,90.70222405271828
LPLA,8,2,10,90.65074135090607
SGI,8,2,10,90.45510708401976
FWONK,8,2,10,90.39332784184514
CCB,8,2,10,90.09472817133442
MNST,8,2,10,89.00329489291599
BSX,8,2,10,88.416392092257
MCK,8,2,10,88.27224052718286
RRC,8,2,10,87.86037891268533
CCLDO,8,2,10,87.70593080724876
CPNG,8,2,10,86.55271828665569
EQH,8,2,10,85.83196046128501
CBOE,8,2,10,85.43039538714991
RDCM,8,2,10,84.77141680395387
HIG,8,2,10,84.47281713344317
CAAP,8,2,10,84.33896210873147
VSEC,8,2,10,84.05065897858319
CART,8,2,10,83.99917627677101
BBUC,8,2,10,82.58855024711697
ASPI,8,2,10,81.71334431630972
JPM,8,2,10,81.35296540362438
HMN,8,2,10,80.43657331136738
RGC,8,1,9,99.98970345963755
TMCWW,8,1,9,99.89703459637562
AREN,8,1,9,99.60873146622735
TMC,8,1,9,99.5160626029654
ROMA,8,1,9,99.02182866556836
MATH,8,1,9,98.99093904448104
ICAD,8,1,9,98.68204283360792
SJT,8,1,9,98.00247116968698
BGM,8,1,9,97.9818780889621
HTZ,8,1,9,97.88920922570016
OKYO,8,1,9,97.83772652388797
YALA,8,1,9,97.73476112026358
PMEC,8,1,9,97.61120263591432
HEES,8,1,9,97.5185337726524
RDUS,8,1,9,97.45675453047777
SAN,8,1,9,97.36408566721582
BROG,8,1,9,97.20963756177925
VRSN,8,1,9,96.95222405271828
AKRO,8,1,9,96.90074135090607
PCRX,8,1,9,96.72570016474464
JNUG,8,1,9,96.70510708401976
OMAB,8,1,9,96.6845140032949
NUGT,8,1,9,96.64332784184514
USAS,8,1,9,96.6330313014827
GDMN,8,1,9,96.54036243822075
DADA,8,1,9,96.46828665568368
DRD,8,1,9,96.43739703459636
ASA,8,1,9,96.39621087314664
DGP,8,1,9,96.38591433278418
FCAP,8,1,9,96.26235584843492
LANV,8,1,9,96.25205930807248
GFI,8,1,9,96.14909390444812
GTX,8,1,9,95.84019769357496
AUMI,8,1,9,95.81960461285009
III,8,1,9,95.7990115321252
SKE,8,1,9,95.72693574958814
PUK,8,1,9,95.68574958813838
TPR,8,1,9,95.62397034596376
SGDM,8,1,9,95.56219110378912
FGM,8,1,9,95.54159802306424
LINC,8,1,9,95.49011532125206
NWG,8,1,9,95.40774299835256
GREK,8,1,9,95.39744645799011
SBSW,8,1,9,95.16062602965404
NTES,8,1,9,95.1503294892916
GF,8,1,9,95.11943986820428
MGIC,8,1,9,94.96499176276772
EWO,8,1,9,94.87232289950576
ITRN,8,1,9,94.70757825370676
RL,8,1,9,94.65609555189457
UNFI,8,1,9,94.59431630971994
TESL,8,1,9,94.57372322899504
EUFN,8,1,9,94.49135090609556
DAX,8,1,9,94.47075782537068
BCH,8,1,9,94.32660626029654
RING,8,1,9,94.27512355848437
DMYY,8,1,9,94.2648270181219
FLGR,8,1,9,94.24423393739704
QTUM,8,1,9,94.2339373970346
GOEX,8,1,9,94.20304777594728
CLBR,8,1,9,94.1824546952224
EWG,8,1,9,94.11037891268532
EWP,8,1,9,94.08978583196046
GOAU,8,1,9,94.05889621087314
SENEB,8,1,9,93.95593080724876
EWI,8,1,9,93.92504118616144
FDD,8,1,9,93.79118616144976
GDXJ,8,1,9,93.78088962108733
PERI,8,1,9,93.73970345963755
CEE,8,1,9,93.68822075782536
GDX,8,1,9,93.65733113673804
GE,8,1,9,93.60584843492586
NTR,8,1,9,93.54406919275124
SENEA,8,1,9,93.52347611202636
CHKP,8,1,9,93.46169686985174
SAP,8,1,9,93.3690280065898
ECH,8,1,9,93.32784184514004
XPP,8,1,9,93.3175453047776
FEUZ,8,1,9,93.28665568369028
SII,8,1,9,93.24546952224053
OLLI,8,1,9,93.19398682042834
MLYS,8,1,9,92.97775947281714
FEP,8,1,9,92.8850906095552
GVAL,8,1,9,92.76153212520592
KFS,8,1,9,92.7512355848435
SGDJ,8,1,9,92.59678747940691
SSSS,8,1,9,92.49382207578252
ATYR,8,1,9,92.46293245469522
PFIX,8,1,9,92.4526359143328
GLDM,8,1,9,92.43204283360792
SGOL,8,1,9,92.42174629324546
IAUM,8,1,9,92.41144975288304
OUNZ,8,1,9,92.39085667215816
AAAU,8,1,9,92.38056013179572
SLAB,8,1,9,92.35996705107084
BAR,8,1,9,92.3496705107084
IAU,8,1,9,92.33937397034596
GLD,8,1,9,92.2672981878089
FGDL,8,1,9,92.1849258649094
DOMO,8,1,9,92.00988467874794
LI,8,1,9,91.95840197693576
HERO,8,1,9,91.94810543657331
ESQ,8,1,9,91.83484349258649
IBM,8,1,9,91.78336079077432
CME,8,1,9,91.76276771004942
FOSLL,8,1,9,91.7318780889621
RYAAY,8,1,9,91.72158154859969
UCYB,8,1,9,91.57742998352552
GSIB,8,1,9,91.55683690280064
GILD,8,1,9,91.4332784184514
STN,8,1,9,91.28912685337728
ESPO,8,1,9,91.24794069192752
NEU,8,1,9,91.17586490939044
JOF,8,1,9,91.14497528830312
BTI,8,1,9,91.05230642504118
BTRN,8,1,9,91.03171334431632
BTCW,8,1,9,90.7331136738056
BRRR,8,1,9,90.72281713344316
ARKB,8,1,9,90.71252059308073
LOPE,8,1,9,90.6816309719934
HODL,8,1,9,90.66103789126852
IBIT,8,1,9,90.64044481054366
BTCO,8,1,9,90.63014827018122
ULTA,8,1,9,90.59925864909393
EZBC,8,1,9,90.57866556836905
FBTC,8,1,9,90.55807248764415
BITB,8,1,9,90.54777594728172
NERD,8,1,9,90.52718286655684
JEQ,8,1,9,90.50658978583196
GDE,8,1,9,90.33154859967053
CIEN,8,1,9,90.31095551894563
AM,8,1,9,90.29036243822075
GBTC,8,1,9,90.28006589785832
DEFI,8,1,9,90.26976935749587
AADR,8,1,9,90.23887973640856
UAE,8,1,9,90.20799011532124
RSG,8,1,9,90.19769357495882
HDMV,8,1,9,90.12561779242174
IDMO,8,1,9,90.0329489291598
BKGI,8,1,9,90.00205930807249
KGRN,8,1,9,89.87850082372323
CBRL,8,1,9,89.86820428336078
FXI,8,1,9,89.72405271828666
EBAY,8,1,9,89.67257001647447
TMV,8,1,9,89.66227347611203
BH,8,1,9,89.6004942339374
PIZ,8,1,9,89.38426688632619
GLTR,8,1,9,89.21952224052718
JCI,8,1,9,89.16803953871499
AFK,8,1,9,89.07537067545304
AER,8,1,9,89.06507413509061
CNH,8,1,9,89.05477759472818
SPR,8,1,9,88.9827018121911
GAMR,8,1,9,88.81795716639209
IROQ,8,1,9,88.74588138385504
KEMQ,8,1,9,88.65321252059309
ARGT,8,1,9,88.51935749588138
CIBR,8,1,9,88.42668863261945
BNGE,8,1,9,88.31342668863262
JIVE,8,1,9,88.24135090609555
CGRO,8,1,9,88.23105436573312
DBP,8,1,9,88.21046128500824
WTS,8,1,9,88.0663097199341
BMA,8,1,9,88.03542009884679
EIS,8,1,9,88.0148270181219
CW,8,1,9,87.97364085667215
IZRL,8,1,9,87.92215815485996
MCHI,8,1,9,87.89126853377265
V,8,1,9,87.88097199341021
SIL,8,1,9,87.64415156507414
RXD,8,1,9,87.3146622734761
FPXE,8,1,9,87.26317957166391
HACK,8,1,9,87.09843492586491
SLVP,8,1,9,87.03665568369028
FDNI,8,1,9,86.96457990115321
ARKX,8,1,9,86.90280065897859
CHIQ,8,1,9,86.87191103789127
FLCH,8,1,9,86.84102141680395
DBD,8,1,9,86.7174629324547
ARKW,8,1,9,86.60420098846787
MUSQ,8,1,9,86.57331136738055
RCG,8,1,9,86.54242174629324
ITA,8,1,9,86.53212520593081
TGLS,8,1,9,86.44975288303131
ISRA,8,1,9,86.41886326194398
EWS,8,1,9,86.38797364085667
TTT,8,1,9,86.16144975288303
UFO,8,1,9,86.07907742998353
MAXI,8,1,9,86.06878088962108
ECNS,8,1,9,85.92462932454696
TBT,8,1,9,85.79077429983526
GNTY,8,1,9,85.77018121911037
BBW,8,1,9,85.61573311367381
FJP,8,1,9,85.59514003294892
BFC,8,1,9,85.53336079077431
ARKQ,8,1,9,85.3995057660626
WCBR,8,1,9,85.24505766062603
PCCE,8,1,9,85.19357495881383
ARVR,8,1,9,85.15238879736408
CSCO,8,1,9,85.13179571663922
ISBA,8,1,9,85.10090609555189
BITU,8,1,9,85.08031301482701
FLEX,8,1,9,84.94645799011532
GXC,8,1,9,84.91556836902801
LEGR,8,1,9,84.71993410214168
XAR,8,1,9,84.67874794069192
OND,8,1,9,84.66845140032949
ARKA,8,1,9,84.43163097199341
X,8,1,9,84.34925864909391
ICE,8,1,9,84.25658978583196
METV,8,1,9,84.10214168039539
NFLP,8,1,9,84.04036243822077
NTCT,8,1,9,84.03006589785832
KWEB,8,1,9,83.95799011532125
ODDS,8,1,9,83.87561779242174
SANM,8,1,9,83.84472817133442
MA,8,1,9,83.83443163097199
CXSE,8,1,9,83.66968698517299
AGMI,8,1,9,83.64909390444811
UUU,8,1,9,83.36079077429983
FNGS,8,1,9,83.32990115321252
FNGO,8,1,9,83.27841845140033
SPMO,8,1,9,83.11367380560132
PSO,8,1,9,83.04159802306425
SCHW,8,1,9,82.90774299835255
IXG,8,1,9,82.76359143327842
GCAD,8,1,9,82.71210873146623
BUZZ,8,1,9,82.62973640856673
RAYJ,8,1,9,82.50617792421747
EBIZ,8,1,9,82.41350906095552
BITX,8,1,9,82.26935749588138
IMAX,8,1,9,82.17668863261945
ECBK,8,1,9,82.04283360790774
OGIG,8,1,9,81.87808896210873
FDRV,8,1,9,81.7339373970346
FDN,8,1,9,81.45593080724876
MTUM,8,1,9,81.37355848434926
FNGG,8,1,9,81.31177924217464
ARKF,8,1,9,81.20881383855024
RAYD,8,1,9,81.19851729818781
EMQQ,8,1,9,81.15733113673805
GGME,8,1,9,81.09555189456343
FUSB,8,1,9,80.75061779242174
