symbol,score,rank,price_momentum_20d,rsi_14,relative_strength
WW,0.7595992168119312,1,13903.257364595287,64.9525733967275,100.0
LRHC,0.42216008464474064,2,-62.166666984558105,25.8445918326005,99.66
SNSE,0.395112643392933,3,14.341086540296544,70.44541355477794,99.92
GORV,0.36845094116812616,4,1747.7365258856473,19.924100560333372,98.98
LYEL,0.3557437636989664,5,13.725499844941801,56.99482228843152,99.75
FGEN,0.32291816338802243,6,22.81639398410016,36.8420978332136,99.83
PXLW,0.2935755769111054,7,49.30747986469184,62.78643335010203,99.58
IMAB,0.260508887258874,8,21.860454388088186,64.63413871802629,92.35
SRM,0.2530639229723442,9,-7.743899595304805,51.13137464114019,99.49
INDP,0.23889567711943993,10,-34.17493155731488,10.9467433499902,98.64
BOLT,0.22508249825987567,11,-6.587835497626285,42.76094281500043,99.07
IKNA,0.22237190878026006,12,1180.5969716393101,88.20686466814001,99.24
FLYE,0.21683956056250628,13,65.62802542471096,69.71428734915597,98.81
AYRO,0.20938682564843106,14,0.27972000922729906,62.362632648107315,99.15
NEGG,0.2055931655517989,15,222.6642452498512,59.38007882991035,98.3
FIG,0.19198861905143333,16,450.6657468692322,99.85187339505487,97.45
WBX,0.1916364178750438,17,-17.152658886559866,30.76922405132096,98.39
ARBB,0.18882103994791422,18,-17.49174839584818,29.828045394123734,98.56
RAPT,0.18609549256016933,19,30.310553075410045,58.23255510263176,97.96
SHPH,0.1843805203750818,20,-10.48593546881172,41.47286685597225,97.62
VLCN,0.18061462572795442,21,37.22730434660055,53.90594659083134,97.54
INUV,0.1780509282439699,22,-1.8181753377500336,39.271261626041564,99.41
ABVX,0.16125439541498615,23,803.8316501261281,94.62631062938289,98.47
SIXG,0.1590542306343277,24,-1.6827297284113782,53.93656352582796,29.82
SLXN,0.14857157299631987,25,1044.266319729902,67.89910392402581,98.9
SOCL,0.1330304532360387,26,1.8414121002595887,56.39345348984823,42.65
BREA,0.13199722145454856,27,-19.11573805059422,43.20057933732388,98.13
EKSO,0.12266859096025207,28,6.402440243253826,52.97157582941309,97.37
CLRO,0.12010839961229806,29,-54.40000057220459,2.8862492384975127,98.05
ATEC,0.11272635525292944,30,25.295730159625474,75.90580943301629,73.41
TNGX,0.09918418620563586,31,14.561411023103513,57.382546523195316,93.03
JFBR,0.09837211260394868,32,-9.415125573462985,49.054221006351135,99.32
OKYO,0.09424957814119035,33,11.510789084030971,65.47619148987502,93.29
SMDD,0.0935421939401831,34,8.798884467415505,61.47705031558841,83.52
CPS,0.09105273035352032,35,9.476312291165733,61.82669930451019,78.16
SY,0.0874174267886377,36,32.92308220496544,50.836824403691594,96.69
ZEPP,0.08641599707632021,37,336.24160794609116,60.592960457443276,96.77
NRSN,0.08638998237788872,38,-43.45549414716705,19.816265893109787,16.4
RDDT,0.08629757666494589,39,20.1299120270509,80.9098845300746,88.53
VIGL,0.08590667871482349,40,0.7509439466267023,41.66673289516558,93.8
TGI,0.08502887849503067,41,1.0882265512126592,71.11140310350092,59.47
DDC,0.08487456645354906,42,-0.5000034968058269,29.929576333065683,94.82
BYFC,0.0833685355288886,43,8.144200654100914,69.73686522065023,52.17
RGLS,0.0824179243885859,44,2.900378613522272,52.499976158157246,97.11
COE,0.08151691392975205,45,11.030217555092847,62.8369792232023,82.92
AIMD,0.08147403685731719,46,-25.22796149938476,30.90908578604659,96.35
SVT,0.08080395480419811,47,0.5139140467851631,64.10203742284915,96.26
SBET,0.08039271936699757,48,35.38704262427069,41.358975075013824,95.16
TOYO,0.07962258978371665,49,65.13264469906883,94.64285410180405,90.57
IRTC,0.07954251434338627,50,15.792798348576415,76.27542590095675,80.12
SCC,0.07953411980080306,51,5.266235286685992,62.162154562661996,81.48
NVTS,0.07931117344579458,52,23.60248396616559,68.0483636494207,94.65
ARKW,0.07883087174338936,53,1.4113967531382892,45.84670402390921,77.4
APPF,0.0778304737765802,54,35.525918914528546,89.70952494195039,72.73
