symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
DFDV,True,True,True,True,True,True,True,8,100.0,True
RGC,True,True,True,True,True,True,True,8,99.98970345963755,True
QVCGB,True,True,True,True,True,True,True,8,99.97940691927512,True
TOI,True,True,True,True,True,True,True,8,99.9176276771005,True
TMCWW,True,True,True,True,True,True,True,8,99.89703459637562,True
QBTS,True,True,True,True,True,True,True,8,99.8867380560132,True
TDUP,True,True,True,True,True,True,True,8,99.76317957166393,True
MVST,True,True,True,True,True,True,True,8,99.6808072487644,True
NUTX,True,True,True,True,True,True,True,8,99.67051070840198,True
CTEV,True,True,True,True,True,True,True,8,99.66021416803954,True
RGLS,True,True,True,True,True,True,True,8,99.6499176276771,True
AREN,True,True,True,True,True,True,True,8,99.60873146622735,True
TGEN,True,True,True,True,True,True,True,8,99.59843492586492,True
HSAI,True,True,True,True,True,True,True,8,99.58813838550246,True
TMC,True,True,True,True,True,True,True,8,99.5160626029654,True
AEVA,True,True,True,True,True,True,True,8,99.47487644151563,True
CURI,True,True,True,True,True,True,True,8,99.38220757825373,True
SATX,True,True,True,True,True,True,True,8,99.2998352553542,True
PRCH,True,True,True,True,True,True,True,8,99.2174629324547,True
OCFT,True,True,True,True,True,True,True,8,99.20716639209226,True
DVS,True,True,True,True,True,True,True,8,99.19686985172982,True
NCL,True,True,True,True,True,True,True,8,99.18657331136738,True
ALTS,True,True,True,True,True,True,True,8,99.1659802306425,True
PNBK,True,True,True,True,True,True,True,8,99.14538714991762,True
TVRD,True,True,True,True,True,True,True,8,99.1350906095552,True
GRPN,True,True,True,True,True,True,True,8,99.12479406919276,True
RPID,True,True,True,True,True,True,True,8,99.04242174629324,True
ROMA,True,True,True,True,True,True,True,8,99.02182866556836,True
XYF,True,True,True,True,True,True,True,8,99.0012355848435,True
MATH,True,True,True,True,True,True,True,8,98.99093904448104,True
MBOT,True,True,True,True,True,True,True,8,98.98064250411862,True
MSGM,True,True,True,True,True,True,True,8,98.93945634266886,True
XNET,True,True,True,True,True,True,True,8,98.92915980230642,True
QURE,True,True,True,True,True,True,True,8,98.8673805601318,True
EOSE,True,True,True,True,True,True,True,8,98.84678747940691,True
ASM,True,True,True,True,True,True,True,8,98.80560131795716,True
DAVE,True,True,True,True,True,True,True,8,98.72322899505768,True
ICAD,True,True,True,True,True,True,True,8,98.68204283360792,True
BSGM,True,True,True,True,True,True,True,8,98.5172981878089,True
VGZ,True,True,True,True,True,True,True,8,98.47611202635916,True
LFMD,True,True,True,True,True,True,True,8,98.41433278418452,True
ACHR,True,True,True,True,True,True,True,8,98.40403624382208,True
RBRK,True,True,True,True,True,True,True,8,98.39373970345964,True
DAN,True,True,True,True,True,True,True,8,98.3834431630972,True
CFSB,True,True,True,True,True,True,True,8,98.37314662273477,True
ALLT,True,True,True,True,True,True,True,8,98.31136738056011,True
JFIN,True,True,True,True,True,True,True,8,98.28047775947282,True
ADPT,True,True,True,True,True,True,True,8,98.27018121911036,True
NPCE,True,True,True,True,True,True,True,8,98.22899505766064,True
URBN,True,True,True,True,True,True,True,8,98.21869851729818,True
PLTR,True,True,True,True,True,True,True,8,98.20840197693576,True
NVCT,True,True,True,True,True,True,True,8,98.18780889621088,True
LEDS,True,True,True,True,True,True,True,8,98.15691927512356,True
ETON,True,True,True,True,True,True,True,8,98.14662273476112,True
SSRM,True,True,True,True,True,True,True,8,98.13632619439868,True
FORD,True,True,True,True,True,True,True,8,98.1157331136738,True
VRNA,True,True,True,True,True,True,True,8,98.10543657331137,True
HRTG,True,True,True,True,True,True,True,8,98.09514003294892,True
IRTC,True,True,True,True,True,True,True,8,98.07454695222404,True
FENC,True,True,True,True,True,True,True,8,98.02306425041186,True
SJT,True,True,True,True,True,True,True,8,98.00247116968698,True
BGM,True,True,True,True,True,True,True,8,97.9818780889621,True
HOOD,True,True,True,True,True,True,True,8,97.94069192751236,True
FTK,True,True,True,True,True,True,True,8,97.93039538714991,True
ATRO,True,True,True,True,True,True,True,8,97.90980230642504,True
HTZ,True,True,True,True,True,True,True,8,97.88920922570016,True
AS,True,True,True,True,True,True,True,8,97.87891268533772,True
AP,True,True,True,True,True,True,True,8,97.8480230642504,True
OKYO,True,True,True,True,True,True,True,8,97.83772652388797,True
THM,True,True,True,True,True,True,True,8,97.79654036243822,True
DAO,True,True,True,True,True,True,True,8,97.76565074135092,True
YALA,True,True,True,True,True,True,True,8,97.73476112026358,True
CPSH,True,True,True,True,True,True,True,8,97.65238879736408,True
PMEC,True,True,True,True,True,True,True,8,97.61120263591432,True
UTI,True,True,True,True,True,True,True,8,97.60090609555188,True
