date,symbol,open,high,low,close,volume
2025-12-23,VGRO,25.280000686645508,25.329999923706055,22.6200008392334,25.325000762939453,101600
2025-12-24,VGRO,25.389999389648438,25.389999389648438,25.34000015258789,25.38599967956543,800
2025-12-26,VGRO,25.395000457763672,25.395000457763672,25.395000457763672,25.395000457763672,200
2025-12-29,VGRO,25.232999801635742,25.266000747680664,25.208999633789062,25.266000747680664,700
2025-12-30,VGRO,25.270000457763672,25.31999969482422,25.209999084472656,25.2450008392334,8800
2025-12-31,VGRO,25.25,25.25,25.05699920654297,25.05699920654297,300
2026-01-02,VGRO,25.010000228881836,25.010000228881836,24.92300033569336,24.92300033569336,100
2026-01-05,VGRO,25.09000015258789,25.09000015258789,25.010000228881836,25.06999969482422,4300
2026-01-06,VGRO,25.016000747680664,25.149999618530273,25.016000747680664,25.135000228881836,3600
2026-01-07,VGRO,25.329999923706055,25.329999923706055,25.225000381469727,25.25200080871582,7100
2026-01-08,VGRO,25.049999237060547,25.049999237060547,24.90999984741211,24.961999893188477,1700
2026-01-09,VGRO,25.101999282836914,25.170000076293945,25.059999465942383,25.125999450683594,6700
2026-01-12,VGRO,25.110000610351562,25.219999313354492,25.110000610351562,25.139999389648438,2200
2026-01-13,VGRO,25.059999465942383,25.06999969482422,24.860000610351562,24.979999542236328,1700
2026-01-14,VGRO,24.6200008392334,24.6200008392334,24.489999771118164,24.56999969482422,300
2026-01-15,VGRO,24.700000762939453,24.700000762939453,24.55500030517578,24.55500030517578,700
2026-01-16,VGRO,24.540000915527344,24.65999984741211,24.540000915527344,24.586999893188477,1000
2026-01-20,VGRO,24.15999984741211,24.200000762939453,23.906999588012695,23.906999588012695,2300
2026-01-21,VGRO,24.086999893188477,24.086999893188477,24.086999893188477,24.086999893188477,300
2026-01-22,VGRO,24.290000915527344,24.290000915527344,24.229000091552734,24.229000091552734,200
2026-01-23,VGRO,24.420000076293945,24.420000076293945,24.38599967956543,24.38599967956543,200
2026-01-26,VGRO,24.440000534057617,24.631999969482422,24.440000534057617,24.586000442504883,2400
2026-01-27,VGRO,25.899999618530273,25.899999618530273,24.78499984741211,24.78499984741211,1100
2026-01-28,VGRO,24.809999465942383,24.81399917602539,24.7549991607666,24.81399917602539,500
2026-01-29,VGRO,24.756999969482422,24.756999969482422,24.756999969482422,24.756999969482422,100
2026-01-30,VGRO,24.650999069213867,24.650999069213867,24.511999130249023,24.511999130249023,4100
2026-02-02,VGRO,24.691999435424805,24.69300079345703,24.645000457763672,24.645000457763672,500
2026-02-03,VGRO,24.184999465942383,24.184999465942383,24.184999465942383,24.184999465942383,100
2026-02-04,VGRO,24.055999755859375,24.055999755859375,23.729999542236328,23.972000122070312,4400
2026-02-05,VGRO,23.540000915527344,23.700000762939453,23.5049991607666,23.545000076293945,1100
2026-02-06,VGRO,24.08300018310547,24.156999588012695,24.08300018310547,24.156999588012695,300
2026-02-09,VGRO,24.405000686645508,24.405000686645508,24.405000686645508,24.405000686645508,100
2026-02-10,VGRO,24.329999923706055,24.329999923706055,24.253999710083008,24.253999710083008,800
2026-02-11,VGRO,24.16200065612793,24.179000854492188,24.12299919128418,24.12299919128418,1700
2026-02-12,VGRO,24.270000457763672,24.270000457763672,23.63599967956543,23.63599967956543,400
2026-02-13,VGRO,23.395000457763672,23.395000457763672,23.395000457763672,23.395000457763672,100
2026-02-17,VGRO,23.55900001525879,23.55900001525879,23.55900001525879,23.55900001525879,400
2026-02-18,VGRO,23.719999313354492,23.768999099731445,23.719999313354492,23.768999099731445,700
2026-02-19,VGRO,23.68000030517578,23.701000213623047,23.68000030517578,23.701000213623047,1700
2026-02-20,VGRO,23.81999969482422,23.951000213623047,23.81999969482422,23.951000213623047,1700
2026-02-23,VGRO,23.680999755859375,23.680999755859375,23.655000686645508,23.655000686645508,500
2026-02-24,VGRO,23.760000228881836,23.916000366210938,23.760000228881836,23.916000366210938,300
2026-02-25,VGRO,24.20400047302246,24.20400047302246,24.20400047302246,24.20400047302246,200
2026-02-26,VGRO,23.94300079345703,23.94300079345703,23.94300079345703,23.94300079345703,100
2026-02-27,VGRO,23.756000518798828,23.792999267578125,23.756000518798828,23.792999267578125,300
2026-03-02,VGRO,23.825000762939453,23.891000747680664,23.825000762939453,23.891000747680664,800
2026-03-03,VGRO,23.715999603271484,23.715999603271484,23.715999603271484,23.715999603271484,300
2026-03-04,VGRO,23.81999969482422,23.933000564575195,23.81999969482422,23.933000564575195,300
2026-03-05,VGRO,23.86400032043457,23.86400032043457,23.86400032043457,23.86400032043457,100
2026-03-06,VGRO,23.53700065612793,23.53700065612793,23.53700065612793,23.53700065612793,100
2026-03-09,VGRO,23.878000259399414,23.878000259399414,23.878000259399414,23.878000259399414,100
2026-03-10,VGRO,23.78700065612793,23.78700065612793,23.78700065612793,23.78700065612793,100
2026-03-11,VGRO,23.746000289916992,23.746000289916992,23.746000289916992,23.746000289916992,100
2026-03-12,VGRO,23.264999389648438,23.264999389648438,23.264999389648438,23.264999389648438,100
2026-03-13,VGRO,22.979999542236328,22.979999542236328,22.979999542236328,22.979999542236328,100
2026-03-16,VGRO,23.290000915527344,23.29199981689453,23.290000915527344,23.29199981689453,2100
2026-03-17,VGRO,23.31999969482422,23.34000015258789,23.2810001373291,23.2810001373291,2900
2026-03-18,VGRO,23.139999389648438,23.18000030517578,22.97599983215332,22.97599983215332,900
2026-03-19,VGRO,22.760000228881836,22.829999923706055,22.760000228881836,22.829999923706055,600
2026-03-20,VGRO,22.440000534057617,22.440000534057617,22.440000534057617,22.440000534057617,100
