date,symbol,open,high,low,close,volume,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-11 00:00:00+00:00,SCNM,,,,,,25.100000381469727,25.1200008392334,25.020000457763672,25.1200008392334,24.886178970336914,395100.0,0.0,0.0,0.0
2025-12-12 00:00:00+00:00,SCNM,,,,,,25.110000610351562,25.110000610351562,25.110000610351562,25.110000610351562,24.876272201538086,0.0,0.0,0.0,0.0
2025-12-15 00:00:00+00:00,SCNM,,,,,,25.059999465942383,25.059999465942383,25.059999465942383,25.059999465942383,24.82673454284668,0.0,0.0,0.0,0.0
2025-12-16 00:00:00+00:00,SCNM,,,,,,25.09000015258789,25.09000015258789,25.09000015258789,25.09000015258789,24.85645866394043,100.0,0.0,0.0,0.0
2025-12-17 00:00:00+00:00,SCNM,,,,,,25.079999923706055,25.079999923706055,25.079999923706055,25.079999923706055,24.84654998779297,100.0,0.0,0.0,0.0
2025-12-18 00:00:00+00:00,SCNM,,,,,,25.06999969482422,25.06999969482422,25.06999969482422,25.06999969482422,24.83664321899414,0.0,0.0,0.0,0.0
2025-12-19 00:00:00+00:00,SCNM,,,,,,25.09000015258789,25.09000015258789,25.09000015258789,25.09000015258789,24.85645866394043,100.0,0.0,0.0,0.0
2025-12-22 00:00:00+00:00,SCNM,,,,,,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,24.866363525390625,0.0,0.0,0.0,0.0
2025-12-23 00:00:00+00:00,SCNM,,,,,,25.114999771118164,25.114999771118164,25.114999771118164,25.114999771118164,24.8812255859375,0.0,0.0,0.0,0.0
2025-12-24 00:00:00+00:00,SCNM,,,,,,25.100000381469727,25.100000381469727,25.100000381469727,25.100000381469727,24.866363525390625,0.0,0.0,0.0,0.0
2025-12-26 00:00:00+00:00,SCNM,,,,,,25.114999771118164,25.114999771118164,25.114999771118164,25.114999771118164,24.8812255859375,0.0,0.0,0.0,0.0
2025-12-29 00:00:00+00:00,SCNM,,,,,,25.145000457763672,25.145000457763672,25.145000457763672,25.145000457763672,24.910945892333984,0.0,0.0,0.0,0.0
2025-12-30 00:00:00+00:00,SCNM,,,,,,25.065000534057617,25.065000534057617,25.065000534057617,25.065000534057617,24.888107299804688,100.0,0.057,0.0,0.0
2025-12-31 00:00:00+00:00,SCNM,,,,,,25.065000534057617,25.065000534057617,25.065000534057617,25.065000534057617,24.888107299804688,100.0,0.0,0.0,0.0
2026-01-02 00:00:00+00:00,SCNM,,,,,,25.104999542236328,25.104999542236328,25.104999542236328,25.104999542236328,24.927825927734375,0.0,0.0,0.0,0.0
2026-01-05 00:00:00+00:00,SCNM,,,,,,25.13800048828125,25.13800048828125,25.13800048828125,25.13800048828125,24.96059226989746,100.0,0.0,0.0,0.0
2026-01-06 00:00:00+00:00,SCNM,,,,,,25.145000457763672,25.145000457763672,25.145000457763672,25.145000457763672,24.96754264831543,0.0,0.0,0.0,0.0
2026-01-07 00:00:00+00:00,SCNM,,,,,,25.19499969482422,25.19499969482422,25.19499969482422,25.19499969482422,25.017189025878906,0.0,0.0,0.0,0.0
2026-01-08 00:00:00+00:00,SCNM,,,,,,25.170000076293945,25.170000076293945,25.170000076293945,25.170000076293945,24.99236488342285,0.0,0.0,0.0,0.0
2026-01-09 00:00:00+00:00,SCNM,,,,,,25.09000015258789,25.100000381469727,25.062999725341797,25.100000381469727,24.92285919189453,178800.0,0.0,0.0,0.0
2026-01-12 00:00:00+00:00,SCNM,,,,,,25.110000610351562,25.1299991607666,25.100000381469727,25.110000610351562,24.932790756225586,6421800.0,0.0,0.0,0.0
2026-01-13 00:00:00+00:00,SCNM,,,,,,25.135000228881836,25.139999389648438,25.1200008392334,25.1299991607666,24.952648162841797,13200.0,0.0,0.0,0.0
2026-01-14 00:00:00+00:00,SCNM,,,,,,25.1299991607666,25.145000457763672,25.1200008392334,25.135000228881836,24.957612991333008,21600.0,0.0,0.0,0.0
2026-01-15 00:00:00+00:00,SCNM,,,,,,25.149999618530273,25.149999618530273,25.110000610351562,25.1200008392334,24.942718505859375,13600.0,0.0,0.0,0.0
2026-01-16 00:00:00+00:00,SCNM,,,,,,25.1299991607666,25.139999389648438,25.06999969482422,25.104999542236328,24.927825927734375,9000.0,0.0,0.0,0.0
2026-01-20 00:00:00+00:00,SCNM,,,,,,24.969999313354492,25.299999237060547,24.969999313354492,25.209999084472656,25.03208351135254,19600.0,0.0,0.0,0.0
2026-01-21 00:00:00+00:00,SCNM,,,,,,25.09000015258789,25.14900016784668,25.079999923706055,25.145000457763672,24.96754264831543,26300.0,0.0,0.0,0.0
2026-01-22 00:00:00+00:00,SCNM,,,,,,25.1200008392334,25.155000686645508,25.1200008392334,25.149999618530273,24.972505569458008,19000.0,0.0,0.0,0.0
2026-01-23 00:00:00+00:00,SCNM,,,,,,25.139999389648438,25.31999969482422,25.079999923706055,25.145000457763672,24.96754264831543,39100.0,0.0,0.0,0.0
2026-01-26 00:00:00+00:00,SCNM,,,,,,25.170000076293945,25.17099952697754,25.139999389648438,25.145000457763672,24.96754264831543,19600.0,0.0,0.0,0.0
2026-01-27 00:00:00+00:00,SCNM,,,,,,25.18000030517578,25.190000534057617,25.155000686645508,25.15999984741211,24.98243522644043,11700.0,0.0,0.0,0.0
2026-01-28 00:00:00+00:00,SCNM,,,,,,25.174999237060547,25.190000534057617,25.16900062561035,25.18000030517578,25.002296447753906,11100.0,0.0,0.0,0.0
2026-01-29 00:00:00+00:00,SCNM,,,,,,25.18000030517578,25.190000534057617,25.15999984741211,25.17300033569336,24.995346069335938,12300.0,0.0,0.0,0.0
2026-01-30 00:00:00+00:00,SCNM,,,,,,25.219999313354492,25.229999542236328,25.19499969482422,25.20599937438965,25.02811050415039,32900.0,0.0,0.0,0.0
2026-02-02 00:00:00+00:00,SCNM,,,,,,25.190000534057617,25.200000762939453,25.18000030517578,25.190000534057617,25.049989700317383,26700.0,0.038,0.0,0.0
2026-02-03 00:00:00+00:00,SCNM,,,,,,25.190000534057617,25.209999084472656,25.190000534057617,25.204999923706055,25.064905166625977,27000.0,0.0,0.0,0.0
2026-02-04 00:00:00+00:00,SCNM,,,,,,25.209999084472656,25.260000228881836,25.209999084472656,25.239999771118164,25.099712371826172,43400.0,0.0,0.0,0.0
2026-02-05 00:00:00+00:00,SCNM,,,,,,25.260000228881836,25.275999069213867,25.260000228881836,25.274999618530273,25.1345157623291,59500.0,0.0,0.0,0.0
2026-02-06 00:00:00+00:00,SCNM,,,,,,25.25,25.260000228881836,25.239999771118164,25.25,25.109655380249023,36600.0,0.0,0.0,0.0
2026-02-09 00:00:00+00:00,SCNM,,,,,,25.280000686645508,25.30500030517578,25.280000686645508,25.30500030517578,25.164350509643555,5200.0,0.0,0.0,0.0
2026-02-10 00:00:00+00:00,SCNM,,,,,,25.350000381469727,25.350000381469727,25.139999389648438,25.309999465942383,25.169322967529297,14800.0,0.0,0.0,0.0
2026-02-11 00:00:00+00:00,SCNM,,,,,,25.25,25.290000915527344,25.25,25.290000915527344,25.14943504333496,57500.0,0.0,0.0,0.0
