date,symbol,open,high,low,close,volume,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-03-20 00:00:00+00:00,BCTXL,1.0499999523162842,1.059999942779541,1.0399999618530271,1.0399999618530271,1738.0,,,,,,,,
2026-04-17 04:00:00+00:00,BCTXL,,,,,,1.0499999523162842,1.159999966621399,1.065000057220459,1.0700000524520874,1.0700000524520874,55435.0,0.0,0.0
2026-04-24 00:00:00+00:00,BCTXL,,,,,,1.0499999523162842,0.9649999737739563,0.9200000166893005,0.9649999737739563,0.9649999737739563,10229.0,0.0,0.0
