date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,symbol
2025-07-23 00:00:00-04:00,25.360000610351562,25.479999542236328,25.32900047302246,25.47599983215332,25.374210357666016,14500,0.0,0.0,0.0,CLCV
2025-07-24 00:00:00-04:00,25.360000610351562,25.389999389648438,25.24799919128418,25.24799919128418,25.14712142944336,16600,0.0,0.0,0.0,CLCV
2025-07-25 00:00:00-04:00,25.26300048828125,25.358999252319336,25.26300048828125,25.339000701904297,25.23775863647461,11500,0.0,0.0,0.0,CLCV
2025-07-28 00:00:00-04:00,25.329999923706055,25.329999923706055,25.128999710083008,25.18000030517578,25.07939338684082,18500,0.0,0.0,0.0,CLCV
2025-07-29 00:00:00-04:00,25.200000762939453,25.208999633789062,25.166000366210938,25.166000366210938,25.06545066833496,1100,0.0,0.0,0.0,CLCV
2025-07-30 00:00:00-04:00,25.15999984741211,25.15999984741211,25.079999923706055,25.079999923706055,24.979793548583984,200,0.0,0.0,0.0,CLCV
2025-07-31 00:00:00-04:00,24.93000030517578,24.93000030517578,24.83300018310547,24.83300018310547,24.733779907226562,200,0.0,0.0,0.0,CLCV
2025-08-01 00:00:00-04:00,24.420000076293945,24.469999313354492,24.41900062561035,24.46500015258789,24.367250442504883,3900,0.0,0.0,0.0,CLCV
2025-08-04 00:00:00-04:00,24.59000015258789,24.719999313354492,24.59000015258789,24.709999084472656,24.611270904541016,1400,0.0,0.0,0.0,CLCV
2025-08-05 00:00:00-04:00,24.790000915527344,24.815000534057617,24.625,24.625,24.526611328125,300,0.0,0.0,0.0,CLCV
2025-08-06 00:00:00-04:00,24.579999923706055,24.6200008392334,24.579999923706055,24.591999053955078,24.493741989135742,700,0.0,0.0,0.0,CLCV
2025-08-07 00:00:00-04:00,24.719999313354492,24.719999313354492,24.466999053955078,24.466999053955078,24.36924171447754,1200,0.0,0.0,0.0,CLCV
2025-08-08 00:00:00-04:00,24.649999618530273,24.760000228881836,24.649999618530273,24.709999084472656,24.611270904541016,500,0.0,0.0,0.0,CLCV
2025-08-11 00:00:00-04:00,24.631999969482422,24.64900016784668,24.59600067138672,24.59600067138672,24.49772834777832,2800,0.0,0.0,0.0,CLCV
2025-08-12 00:00:00-04:00,24.899999618530273,24.899999618530273,24.863000869750977,24.863000869750977,24.763660430908203,100,0.0,0.0,0.0,CLCV
2025-08-13 00:00:00-04:00,25.0,25.040000915527344,24.93000030517578,25.020000457763672,24.920034408569336,11400,0.0,0.0,0.0,CLCV
2025-08-14 00:00:00-04:00,25.009000778198242,25.149999618530273,25.009000778198242,25.040000915527344,24.93995475769043,6200,0.0,0.0,0.0,CLCV
2025-08-15 00:00:00-04:00,25.040000915527344,25.09000015258789,25.000999450683594,25.000999450683594,24.901107788085938,1300,0.0,0.0,0.0,CLCV
2025-08-18 00:00:00-04:00,24.989999771118164,25.06999969482422,24.989999771118164,25.058000564575195,24.957881927490234,5400,0.0,0.0,0.0,CLCV
2025-08-19 00:00:00-04:00,25.030000686645508,25.3700008392334,25.018999099731445,25.038999557495117,24.93895721435547,6800,0.0,0.0,0.0,CLCV
2025-08-20 00:00:00-04:00,25.06999969482422,25.145999908447266,25.049999237060547,25.145999908447266,25.045530319213867,300,0.0,0.0,0.0,CLCV
2025-08-21 00:00:00-04:00,25.099000930786133,25.100000381469727,25.05699920654297,25.05699920654297,24.956884384155273,9900,0.0,0.0,0.0,CLCV
2025-08-22 00:00:00-04:00,25.40999984741211,25.40999984741211,25.385000228881836,25.385000228881836,25.2835750579834,300,0.0,0.0,0.0,CLCV
2025-08-25 00:00:00-04:00,25.360000610351562,25.360000610351562,25.325000762939453,25.325000762939453,25.22381591796875,900,0.0,0.0,0.0,CLCV
2025-08-26 00:00:00-04:00,25.329999923706055,25.395000457763672,25.299999237060547,25.395000457763672,25.293535232543945,3400,0.0,0.0,0.0,CLCV
2025-08-27 00:00:00-04:00,25.420000076293945,25.479999542236328,25.420000076293945,25.472999572753906,25.37122344970703,1500,0.0,0.0,0.0,CLCV
2025-08-28 00:00:00-04:00,25.57900047302246,25.57900047302246,25.57900047302246,25.57900047302246,25.4768009185791,100,0.0,0.0,0.0,CLCV
2025-08-29 00:00:00-04:00,25.61199951171875,25.61199951171875,25.59000015258789,25.59000015258789,25.487756729125977,1600,0.0,0.0,0.0,CLCV
2025-09-02 00:00:00-04:00,25.378999710083008,25.44700050354004,25.364999771118164,25.44700050354004,25.345327377319336,1100,0.0,0.0,0.0,CLCV
2025-09-03 00:00:00-04:00,25.395999908447266,25.395999908447266,25.395999908447266,25.395999908447266,25.294530868530273,100,0.0,0.0,0.0,CLCV
2025-09-04 00:00:00-04:00,25.500999450683594,25.554000854492188,25.500999450683594,25.554000854492188,25.451900482177734,300,0.0,0.0,0.0,CLCV
2025-09-05 00:00:00-04:00,25.389999389648438,25.393999099731445,25.3700008392334,25.393999099731445,25.292537689208984,700,0.0,0.0,0.0,CLCV
2025-09-08 00:00:00-04:00,25.389999389648438,25.389999389648438,25.270000457763672,25.371999740600586,25.270626068115234,1600,0.0,0.0,0.0,CLCV
