date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,symbol
2025-12-12 00:00:00-05:00,20.34000015258789,20.357999801635742,20.34000015258789,20.357999801635742,20.33867645263672,100,0.0,0.0,RESM
2025-12-15 00:00:00-05:00,20.309999465942383,20.309999465942383,20.292999267578125,20.292999267578125,20.27373695373535,100,0.0,0.0,RESM
2025-12-16 00:00:00-05:00,20.1299991607666,20.200000762939453,20.1299991607666,20.200000762939453,20.18082618713379,100,0.0,0.0,RESM
2025-12-17 00:00:00-05:00,20.017000198364258,20.017000198364258,20.017000198364258,20.017000198364258,19.99799919128418,0,0.0,0.0,RESM
2025-12-18 00:00:00-05:00,20.15999984741211,20.15999984741211,20.11400032043457,20.11400032043457,20.11400032043457,100,0.019,0.0,RESM
2025-12-19 00:00:00-05:00,20.184999465942383,20.184999465942383,20.184999465942383,20.184999465942383,20.184999465942383,0,0.0,0.0,RESM
2025-12-22 00:00:00-05:00,20.299999237060547,20.36400032043457,20.299999237060547,20.36400032043457,20.36400032043457,100,0.0,0.0,RESM
2025-12-23 00:00:00-05:00,20.277000427246094,20.277000427246094,20.277000427246094,20.277000427246094,20.277000427246094,0,0.0,0.0,RESM
2025-12-24 00:00:00-05:00,20.290000915527344,20.34000015258789,20.290000915527344,20.34000015258789,20.34000015258789,100,0.0,0.0,RESM
2025-12-26 00:00:00-05:00,20.274999618530273,20.30699920654297,20.270000457763672,20.30699920654297,20.30699920654297,200,0.0,0.0,RESM
2025-12-29 00:00:00-05:00,20.19499969482422,20.19499969482422,20.19499969482422,20.19499969482422,20.19499969482422,0,0.0,0.0,RESM
2025-12-30 00:00:00-05:00,20.08099937438965,20.08099937438965,20.08099937438965,20.08099937438965,20.08099937438965,0,0.0,0.0,RESM
2025-12-31 00:00:00-05:00,19.950000762939453,20.0,19.898000717163086,19.898000717163086,19.898000717163086,600,0.0,0.0,RESM
2026-01-02 00:00:00-05:00,19.8799991607666,19.996999740600586,19.8799991607666,19.996999740600586,19.996999740600586,100,0.0,0.0,RESM
2026-01-05 00:00:00-05:00,20.260000228881836,20.260000228881836,20.235000610351562,20.235000610351562,20.235000610351562,100,0.0,0.0,RESM
2026-01-06 00:00:00-05:00,20.450000762939453,20.486000061035156,20.450000762939453,20.486000061035156,20.486000061035156,100,0.0,0.0,RESM
2026-01-07 00:00:00-05:00,20.43000030517578,20.43000030517578,20.416000366210938,20.416000366210938,20.416000366210938,100,0.0,0.0,RESM
2026-01-08 00:00:00-05:00,20.549999237060547,20.576000213623047,20.549999237060547,20.576000213623047,20.576000213623047,200,0.0,0.0,RESM
2026-01-09 00:00:00-05:00,20.670000076293945,20.687000274658203,20.670000076293945,20.687000274658203,20.687000274658203,100,0.0,0.0,RESM
2026-01-12 00:00:00-05:00,20.690000534057617,20.750999450683594,20.690000534057617,20.750999450683594,20.750999450683594,100,0.0,0.0,RESM
2026-01-13 00:00:00-05:00,20.799999237060547,20.799999237060547,20.740999221801758,20.740999221801758,20.740999221801758,300,0.0,0.0,RESM
2026-01-14 00:00:00-05:00,20.770000457763672,20.82900047302246,20.770000457763672,20.82900047302246,20.82900047302246,100,0.0,0.0,RESM
2026-01-15 00:00:00-05:00,21.100000381469727,21.100000381469727,21.090999603271484,21.090999603271484,21.090999603271484,200,0.0,0.0,RESM
2026-01-16 00:00:00-05:00,21.040000915527344,21.040000915527344,21.040000915527344,21.040000915527344,21.040000915527344,100,0.0,0.0,RESM
2026-01-20 00:00:00-05:00,20.93000030517578,20.93000030517578,20.81100082397461,20.81100082397461,20.81100082397461,100,0.0,0.0,RESM
2026-01-21 00:00:00-05:00,21.040000915527344,21.301000595092773,21.040000915527344,21.301000595092773,21.301000595092773,100,0.0,0.0,RESM
2026-01-22 00:00:00-05:00,21.530000686645508,21.530000686645508,21.451000213623047,21.451000213623047,21.451000213623047,100,0.0,0.0,RESM
2026-01-23 00:00:00-05:00,21.06999969482422,21.07900047302246,21.06999969482422,21.07900047302246,21.07900047302246,100,0.0,0.0,RESM
2026-01-26 00:00:00-05:00,21.139999389648438,21.139999389648438,21.114999771118164,21.114999771118164,21.114999771118164,100,0.0,0.0,RESM
2026-01-27 00:00:00-05:00,21.040000915527344,21.06100082397461,21.040000915527344,21.06100082397461,21.06100082397461,200,0.0,0.0,RESM
2026-01-28 00:00:00-05:00,20.957000732421875,20.957000732421875,20.957000732421875,20.957000732421875,20.957000732421875,0,0.0,0.0,RESM
2026-01-29 00:00:00-05:00,20.959999084472656,21.069000244140625,20.959999084472656,21.069000244140625,21.069000244140625,100,0.0,0.0,RESM
2026-01-30 00:00:00-05:00,20.82699966430664,20.82699966430664,20.82699966430664,20.82699966430664,20.82699966430664,0,0.0,0.0,RESM
2026-02-02 00:00:00-05:00,21.1299991607666,21.1299991607666,21.086000442504883,21.086000442504883,21.086000442504883,100,0.0,0.0,RESM
2026-02-03 00:00:00-05:00,20.84000015258789,21.05500030517578,20.84000015258789,21.05500030517578,21.05500030517578,1300,0.0,0.0,RESM
2026-02-04 00:00:00-05:00,21.209999084472656,21.209999084472656,21.020000457763672,21.020000457763672,21.020000457763672,300,0.0,0.0,RESM
2026-02-05 00:00:00-05:00,21.030000686645508,21.030000686645508,20.83799934387207,20.83799934387207,20.83799934387207,500,0.0,0.0,RESM
2026-02-06 00:00:00-05:00,21.280000686645508,21.51300048828125,21.280000686645508,21.51300048828125,21.51300048828125,700,0.0,0.0,RESM
2026-02-09 00:00:00-05:00,21.551000595092773,21.551000595092773,21.551000595092773,21.551000595092773,21.551000595092773,100,0.0,0.0,RESM
2026-02-10 00:00:00-05:00,21.59000015258789,21.59000015258789,21.511999130249023,21.511999130249023,21.511999130249023,500,0.0,0.0,RESM
2026-02-11 00:00:00-05:00,21.499000549316406,21.499000549316406,21.499000549316406,21.499000549316406,21.499000549316406,100,0.0,0.0,RESM
2026-02-12 00:00:00-05:00,21.5,21.5,21.141000747680664,21.141000747680664,21.141000747680664,100,0.0,0.0,RESM
2026-02-13 00:00:00-05:00,21.398000717163086,21.398000717163086,21.398000717163086,21.398000717163086,21.398000717163086,100,0.0,0.0,RESM
2026-02-17 00:00:00-05:00,21.38800048828125,21.38800048828125,21.38800048828125,21.38800048828125,21.38800048828125,100,0.0,0.0,RESM
2026-02-18 00:00:00-05:00,21.489999771118164,21.489999771118164,21.448999404907227,21.448999404907227,21.448999404907227,200,0.0,0.0,RESM
2026-02-19 00:00:00-05:00,21.399999618530273,21.44300079345703,21.399999618530273,21.44300079345703,21.44300079345703,200,0.0,0.0,RESM
2026-02-20 00:00:00-05:00,21.510000228881836,21.535999298095703,21.510000228881836,21.535999298095703,21.535999298095703,200,0.0,0.0,RESM
2026-02-23 00:00:00-05:00,21.149999618530273,21.16699981689453,21.149999618530273,21.16699981689453,21.16699981689453,200,0.0,0.0,RESM
2026-02-24 00:00:00-05:00,21.43000030517578,21.44099998474121,21.43000030517578,21.44099998474121,21.44099998474121,200,0.0,0.0,RESM
2026-02-25 00:00:00-05:00,21.479999542236328,21.53700065612793,21.479999542236328,21.53700065612793,21.53700065612793,200,0.0,0.0,RESM
2026-02-26 00:00:00-05:00,21.62700080871582,21.62700080871582,21.62700080871582,21.62700080871582,21.62700080871582,100,0.0,0.0,RESM
2026-02-27 00:00:00-05:00,21.260000228881836,21.30299949645996,21.260000228881836,21.30299949645996,21.30299949645996,200,0.0,0.0,RESM
2026-03-02 00:00:00-05:00,21.489999771118164,21.489999771118164,21.468000411987305,21.468000411987305,21.468000411987305,200,0.0,0.0,RESM
2026-03-03 00:00:00-05:00,21.128999710083008,21.128999710083008,21.128999710083008,21.128999710083008,21.128999710083008,100,0.0,0.0,RESM
2026-03-04 00:00:00-05:00,21.270000457763672,21.302000045776367,21.270000457763672,21.302000045776367,21.302000045776367,200,0.0,0.0,RESM
2026-03-05 00:00:00-05:00,20.889999389648438,20.889999389648438,20.889999389648438,20.889999389648438,20.889999389648438,100,0.0,0.0,RESM
2026-03-06 00:00:00-05:00,20.399999618530273,20.44099998474121,20.399999618530273,20.44099998474121,20.44099998474121,500,0.0,0.0,RESM
2026-03-09 00:00:00-04:00,20.190000534057617,20.614999771118164,20.190000534057617,20.614999771118164,20.614999771118164,122300,0.0,0.0,RESM
2026-03-10 00:00:00-04:00,20.780000686645508,20.780000686645508,20.562999725341797,20.562999725341797,20.562999725341797,200,0.0,0.0,RESM
2026-03-11 00:00:00-04:00,20.420000076293945,20.506999969482422,20.420000076293945,20.506999969482422,20.506999969482422,300,0.0,0.0,RESM
2026-03-12 00:00:00-04:00,20.083999633789062,20.083999633789062,20.083999633789062,20.083999633789062,20.083999633789062,100,0.0,0.0,RESM
2026-03-13 00:00:00-04:00,20.15999984741211,20.058000564575195,20.058000564575195,20.058000564575195,20.058000564575195,1008,0.0,0.0,RESM
