date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,symbol
2026-01-13 00:00:00+00:00,25.079999923706055,25.079999923706055,25.049999237060547,25.049999237060547,24.872344970703125,600.0,0.0,0.0,0.0,LTAX
2026-01-14 00:00:00+00:00,25.059999465942383,25.073999404907227,25.059999465942383,25.073999404907227,24.89617347717285,2000.0,0.0,0.0,0.0,LTAX
2026-01-15 00:00:00+00:00,25.073999404907227,25.073999404907227,25.073999404907227,25.073999404907227,24.89617347717285,0.0,0.0,0.0,0.0,LTAX
2026-01-16 00:00:00+00:00,24.969999313354492,24.969999313354492,24.969999313354492,24.969999313354492,24.792911529541016,100.0,0.0,0.0,0.0,LTAX
2026-01-20 00:00:00+00:00,24.8799991607666,24.8799991607666,24.8799991607666,24.8799991607666,24.703548431396484,100.0,0.0,0.0,0.0,LTAX
2026-01-21 00:00:00+00:00,24.989999771118164,25.027000427246094,24.989999771118164,25.027000427246094,24.84950828552246,100.0,0.0,0.0,0.0,LTAX
2026-01-22 00:00:00+00:00,24.940000534057617,24.940000534057617,24.940000534057617,24.940000534057617,24.763126373291016,100.0,0.0,0.0,0.0,LTAX
2026-01-23 00:00:00+00:00,24.98200035095215,24.98200035095215,24.98200035095215,24.98200035095215,24.804826736450195,100.0,0.0,0.0,0.0,LTAX
2026-01-26 00:00:00+00:00,24.990999221801758,24.990999221801758,24.990999221801758,24.990999221801758,24.813762664794922,0.0,0.0,0.0,0.0,LTAX
2026-01-27 00:00:00+00:00,24.979999542236328,24.979999542236328,24.979999542236328,24.979999542236328,24.80284309387207,0.0,0.0,0.0,0.0,LTAX
2026-01-28 00:00:00+00:00,25.035999298095703,25.035999298095703,25.035999298095703,25.035999298095703,24.858442306518555,0.0,0.0,0.0,0.0,LTAX
2026-01-29 00:00:00+00:00,25.0,25.0,24.964000701904297,24.964000701904297,24.786954879760742,5000.0,0.0,0.0,0.0,LTAX
2026-01-30 00:00:00+00:00,25.04800033569336,25.04800033569336,25.04800033569336,25.04800033569336,24.889301300048828,100.0,0.019,0.0,0.0,LTAX
2026-02-02 00:00:00+00:00,25.041000366210938,25.041000366210938,25.041000366210938,25.041000366210938,24.882347106933594,100.0,0.0,0.0,0.0,LTAX
2026-02-03 00:00:00+00:00,25.049999237060547,25.049999237060547,25.049999237060547,25.049999237060547,24.89128875732422,0.0,0.0,0.0,0.0,LTAX
2026-02-04 00:00:00+00:00,25.045000076293945,25.045000076293945,25.045000076293945,25.045000076293945,24.886320114135742,100.0,0.0,0.0,0.0,LTAX
2026-02-05 00:00:00+00:00,25.1200008392334,25.1200008392334,25.1200008392334,25.1200008392334,24.960845947265625,100.0,0.0,0.0,0.0,LTAX
2026-02-06 00:00:00+00:00,25.052000045776367,25.052000045776367,25.052000045776367,25.052000045776367,24.893278121948242,0.0,0.0,0.0,0.0,LTAX
2026-02-09 00:00:00+00:00,25.134000778198242,25.134000778198242,25.134000778198242,25.134000778198242,24.97475814819336,0.0,0.0,0.0,0.0,LTAX
2026-02-10 00:00:00+00:00,25.167999267578125,25.167999267578125,25.167999267578125,25.167999267578125,25.008541107177734,100.0,0.0,0.0,0.0,LTAX
