date,symbol,open,high,low,close,volume,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-08-19 00:00:00+00:00,MUNA,,,,,,100.05000305175781,100.0999984741211,100.05000305175781,100.0999984741211,98.79264831542969,1400.0,0.0,0.0
2025-08-20 00:00:00+00:00,MUNA,,,,,,100.06999969482422,100.12000274658203,100.06999969482422,100.06999969482422,98.76304626464844,200.0,0.0,0.0
2025-08-21 00:00:00+00:00,MUNA,,,,,,100.05000305175781,100.05000305175781,100.05000305175781,100.05000305175781,98.74331665039062,100.0,0.0,0.0
2025-08-22 00:00:00+00:00,MUNA,,,,,,99.9800033569336,100.11000061035156,99.9800033569336,100.11000061035156,98.80252838134766,3000.0,0.0,0.0
2025-08-25 00:00:00+00:00,MUNA,,,,,,100.1500015258789,100.1500015258789,100.1500015258789,100.1500015258789,98.84201049804688,200.0,0.0,0.0
2025-08-26 00:00:00+00:00,MUNA,,,,,,100.16999816894531,100.16999816894531,100.16999816894531,100.16999816894531,98.86174774169922,100.0,0.0,0.0
2025-08-27 00:00:00+00:00,MUNA,,,,,,100.12999725341797,100.18000030517578,100.12999725341797,100.12999725341797,98.822265625,400.0,0.0,0.0
2025-08-28 00:00:00+00:00,MUNA,,,,,,100.19000244140625,100.19000244140625,100.19000244140625,100.19000244140625,98.88148498535156,100.0,0.0,0.0
2025-08-29 00:00:00+00:00,MUNA,,,,,,99.9000015258789,100.1259994506836,99.80000305175781,100.1259994506836,98.81832122802734,300.0,0.0,0.0
2025-09-02 00:00:00+00:00,MUNA,,,,,,100.05000305175781,100.05000305175781,100.05000305175781,100.05000305175781,98.81733703613281,100.0,0.075,0.0
2025-09-03 00:00:00+00:00,MUNA,,,,,,100.09600067138672,100.09600067138672,100.09600067138672,100.09600067138672,98.86275482177734,100.0,0.0,0.0
2025-09-04 00:00:00+00:00,MUNA,,,,,,99.88999938964844,100.19999694824219,99.88999938964844,100.19999694824219,98.96548461914062,400.0,0.0,0.0
2025-09-05 00:00:00+00:00,MUNA,,,,,,100.3499984741211,100.3499984741211,100.3499984741211,100.3499984741211,99.11363220214844,100.0,0.0,0.0
2025-09-08 00:00:00+00:00,MUNA,,,,,,100.44999694824219,100.44999694824219,100.41999816894531,100.41999816894531,99.18277740478516,1000.0,0.0,0.0
2025-09-09 00:00:00+00:00,MUNA,,,,,,100.55999755859375,100.55999755859375,100.55999755859375,100.55999755859375,99.32103729248047,0.0,0.0,0.0
2025-09-10 00:00:00+00:00,MUNA,,,,,,100.62000274658203,100.62000274658203,100.62000274658203,100.62000274658203,99.38031005859375,100.0,0.0,0.0
2025-09-11 00:00:00+00:00,MUNA,,,,,,100.73999786376953,100.73999786376953,100.73999786376953,100.73999786376953,99.49881744384766,100.0,0.0,0.0
2025-09-12 00:00:00+00:00,MUNA,,,,,,100.70800018310547,100.71499633789062,100.70800018310547,100.71499633789062,99.47412872314453,400.0,0.0,0.0
