date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains,symbol
2025-11-17 00:00:00-05:00,14.899999618530273,15.170000076293945,14.557000160217285,14.557000160217285,14.557000160217285,1200,0.0,0.0,0.0,NUG
2025-11-18 00:00:00-05:00,14.399999618530273,14.40999984741211,14.029999732971191,14.029999732971191,14.029999732971191,500,0.0,0.0,0.0,NUG
2025-11-19 00:00:00-05:00,14.720000267028809,14.720000267028809,14.678999900817871,14.678999900817871,14.678999900817871,100,0.0,0.0,0.0,NUG
2025-11-20 00:00:00-05:00,14.052000045776367,14.052000045776367,14.052000045776367,14.052000045776367,14.052000045776367,500,0.0,0.0,0.0,NUG
2025-11-21 00:00:00-05:00,14.279999732971191,15.300000190734863,14.260000228881836,15.086999893188477,15.086999893188477,1700,0.0,0.0,0.0,NUG
2025-11-24 00:00:00-05:00,15.109999656677246,15.123000144958496,14.970000267028809,15.123000144958496,15.123000144958496,11200,0.0,0.0,0.0,NUG
2025-11-25 00:00:00-05:00,14.789999961853027,16.44700050354004,14.789999961853027,16.44700050354004,16.44700050354004,31700,0.0,0.0,0.0,NUG
2025-11-26 00:00:00-05:00,17.729999542236328,17.850000381469727,17.31999969482422,17.69099998474121,17.69099998474121,12600,0.0,0.0,0.0,NUG
2025-11-28 00:00:00-05:00,17.829999923706055,18.924999237060547,17.799999237060547,18.924999237060547,18.924999237060547,21400,0.0,0.0,0.0,NUG
2025-12-01 00:00:00-05:00,17.780000686645508,18.268999099731445,17.780000686645508,18.1299991607666,18.1299991607666,1600,0.0,0.0,0.0,NUG
2025-12-02 00:00:00-05:00,18.309999465942383,18.690000534057617,18.309999465942383,18.3799991607666,18.3799991607666,2500,0.0,0.0,0.0,NUG
2025-12-03 00:00:00-05:00,18.450000762939453,18.549999237060547,17.809999465942383,18.047000885009766,18.047000885009766,4100,0.0,0.0,0.0,NUG
2025-12-04 00:00:00-05:00,18.360000610351562,18.489999771118164,18.170000076293945,18.413999557495117,18.413999557495117,1800,0.0,0.0,0.0,NUG
2025-12-05 00:00:00-05:00,18.299999237060547,18.3799991607666,16.48200035095215,16.48200035095215,16.48200035095215,2300,0.0,0.0,0.0,NUG
2025-12-08 00:00:00-05:00,17.0,17.049999237060547,16.263999938964844,16.263999938964844,16.263999938964844,3800,0.0,0.0,0.0,NUG
2025-12-09 00:00:00-05:00,15.979999542236328,16.41900062561035,15.930000305175781,16.357999801635742,16.357999801635742,3500,0.0,0.0,0.0,NUG
