date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,symbol
2026-02-04 00:00:00-05:00,25.209999084472656,25.209999084472656,24.93000030517578,24.93000030517578,24.93000030517578,100700,0.0,0.0,VEM
2026-02-05 00:00:00-05:00,24.809999465942383,24.81999969482422,24.65999984741211,24.65999984741211,24.65999984741211,5200,0.0,0.0,VEM
2026-02-06 00:00:00-05:00,24.969999313354492,25.270000457763672,24.969999313354492,25.270000457763672,25.270000457763672,1400,0.0,0.0,VEM
2026-02-09 00:00:00-05:00,25.469999313354492,25.469999313354492,25.469999313354492,25.469999313354492,25.469999313354492,200,0.0,0.0,VEM
2026-02-10 00:00:00-05:00,25.540000915527344,25.6299991607666,25.520000457763672,25.559999465942383,25.559999465942383,217900,0.0,0.0,VEM
2026-02-11 00:00:00-05:00,25.780000686645508,25.920000076293945,25.780000686645508,25.920000076293945,25.920000076293945,2800,0.0,0.0,VEM
2026-02-12 00:00:00-05:00,26.010000228881836,26.09000015258789,25.639999389648438,25.639999389648438,25.639999389648438,3000,0.0,0.0,VEM
2026-02-13 00:00:00-05:00,26.65999984741211,26.799999237060547,25.6299991607666,25.6299991607666,25.6299991607666,5100,0.0,0.0,VEM
2026-02-17 00:00:00-05:00,25.510000228881836,25.6200008392334,25.510000228881836,25.6200008392334,25.6200008392334,300,0.0,0.0,VEM
2026-02-18 00:00:00-05:00,25.81999969482422,25.81999969482422,25.81999969482422,25.81999969482422,25.81999969482422,100,0.0,0.0,VEM
2026-02-19 00:00:00-05:00,25.790000915527344,25.790000915527344,25.729999542236328,25.729999542236328,25.729999542236328,300,0.0,0.0,VEM
2026-02-20 00:00:00-05:00,26.25,26.270000457763672,26.25,26.270000457763672,26.270000457763672,300,0.0,0.0,VEM
2026-02-23 00:00:00-05:00,26.1200008392334,26.170000076293945,26.020000457763672,26.170000076293945,26.170000076293945,100000,0.0,0.0,VEM
2026-02-24 00:00:00-05:00,26.3799991607666,26.420000076293945,26.3799991607666,26.420000076293945,26.420000076293945,200,0.0,0.0,VEM
2026-02-25 00:00:00-05:00,26.639999389648438,26.670000076293945,26.639999389648438,26.670000076293945,26.670000076293945,300,0.0,0.0,VEM
2026-02-26 00:00:00-05:00,26.270000457763672,26.270000457763672,26.270000457763672,26.270000457763672,26.270000457763672,200,0.0,0.0,VEM
2026-02-27 00:00:00-05:00,26.1299991607666,26.1299991607666,26.09000015258789,26.09000015258789,26.09000015258789,2600,0.0,0.0,VEM
2026-03-02 00:00:00-05:00,25.8799991607666,25.93000030517578,25.8799991607666,25.93000030517578,25.93000030517578,400,0.0,0.0,VEM
2026-03-03 00:00:00-05:00,24.790000915527344,24.790000915527344,24.790000915527344,24.790000915527344,24.790000915527344,100,0.0,0.0,VEM
2026-03-04 00:00:00-05:00,25.079999923706055,25.079999923706055,25.079999923706055,25.079999923706055,25.079999923706055,100,0.0,0.0,VEM
2026-03-05 00:00:00-05:00,24.459999084472656,24.459999084472656,24.350000381469727,24.43000030517578,24.43000030517578,3400,0.0,0.0,VEM
2026-03-06 00:00:00-05:00,24.1299991607666,24.1299991607666,24.1299991607666,24.1299991607666,24.1299991607666,100,0.0,0.0,VEM
2026-03-09 00:00:00-04:00,24.579999923706055,24.579999923706055,24.579999923706055,24.579999923706055,24.579999923706055,200,0.0,0.0,VEM
2026-03-10 00:00:00-04:00,24.559999465942383,24.559999465942383,24.559999465942383,24.559999465942383,24.559999465942383,100,0.0,0.0,VEM
2026-03-11 00:00:00-04:00,24.709999084472656,24.709999084472656,24.709999084472656,24.709999084472656,24.709999084472656,100,0.0,0.0,VEM
2026-03-12 00:00:00-04:00,23.899999618530273,23.899999618530273,23.899999618530273,23.899999618530273,23.899999618530273,100,0.0,0.0,VEM
2026-03-13 00:00:00-04:00,23.670000076293945,23.670000076293945,23.670000076293945,23.670000076293945,23.670000076293945,100,0.0,0.0,VEM
