symbol,data_available,image_generated,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_dimensional_scores,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_dimensional_scores,processing_date
SPRX,True,True,True,0.673,Medium,"{'technical_quality': np.float64(0.5714038854786558), 'volume_confirmation': np.float64(0.29139656097563904), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.745,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-02
BTFX,True,True,True,0.701,Medium,"{'technical_quality': np.float64(0.8396439079566073), 'volume_confirmation': np.float64(0.15033947623666344), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.715,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-02
IPX,True,True,False,0.509,Low,"{'technical_quality': np.float64(0.22573434658297276), 'volume_confirmation': np.float64(0.12193326790971541), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.588,Low,"{'technical_quality': 0.25, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-02
COMM,True,True,True,0.702,Medium,"{'technical_quality': np.float64(0.7493542846095422), 'volume_confirmation': np.float64(0.517486040865528), 'temporal_validity': 1.0, 'market_context': 0.4}",True,0.617,Medium,"{'technical_quality': 0.44999999999999996, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 0.4}",2025-08-02
DFEN,True,True,True,0.724,Medium,"{'technical_quality': np.float64(0.8536372416143423), 'volume_confirmation': np.float64(0.1595103174227193), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.677,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",2025-08-02
TBMCR,True,True,True,0.804,High,"{'technical_quality': np.float64(0.5982705555595466), 'volume_confirmation': np.float64(0.9987815672673125), 'temporal_validity': 0.9, 'market_context': 0.8}",False,0.547,Low,"{'technical_quality': 0.65, 'volume_confirmation': 0.0, 'temporal_validity': 0.8, 'market_context': 0.8}",2025-08-02
FBL,True,True,True,0.659,Medium,"{'technical_quality': np.float64(0.7083436177344059), 'volume_confirmation': np.float64(0.042674892816061905), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.772,Medium,"{'technical_quality': 0.35, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-02
ARKW,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.765,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.9}",2025-08-02
METU,True,True,True,0.64,Medium,"{'technical_quality': np.float64(0.6673993999171028), 'volume_confirmation': np.float64(0.025633276034681424), 'temporal_validity': 1.0, 'market_context': 1.0}",False,0.522,Low,"{'technical_quality': 0.35, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-02
SMDD,True,True,True,0.756,Medium,"{'technical_quality': np.float64(0.8630275633555478), 'volume_confirmation': np.float64(0.5752506854726203), 'temporal_validity': 1.0, 'market_context': 0.4}",True,0.703,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 1.0, 'temporal_validity': 0.8, 'market_context': 0.4}",2025-08-02
