전략,포지션수,총가치,평균수익률,업데이트시간,종목,현재가,수익률,비중
strategy1,10.0,0.0,0.0,2025-05-30 21:20:49,,,,
strategy1,,,,2025-05-30 21:20:49,QUBT,12.43000030517578,0.0,4.15%
strategy1,,,,2025-05-30 21:20:49,QBTS,16.270000457763672,0.0,3.87%
strategy1,,,,2025-05-30 21:20:49,KDLY,24.940000534057617,0.0,2.99%
strategy1,,,,2025-05-30 21:20:49,RGTI,13.149999618530272,0.0,4.33%
strategy1,,,,2025-05-30 21:20:49,NAKA,22.43000030517578,0.0,1.93%
strategy1,,,,2025-05-30 21:20:49,SBET,79.20999908447266,0.0,1.66%
strategy1,,,,2025-05-30 21:20:49,ASST,7.559999942779541,0.0,1.35%
strategy1,,,,2025-05-30 21:20:49,OKLO,52.93000030517578,0.0,5.24%
strategy1,,,,2025-05-30 21:20:49,DAVE,208.32000732421875,0.0,7.71%
strategy1,,,,2025-05-30 21:20:49,IONQ,43.20000076293945,0.0,5.23%
strategy3,10.0,0.0,0.0,2025-05-30 21:20:49,,,,
strategy3,,,,2025-05-30 21:20:49,DFDV,19.65999984741211,0.0,1.46%
strategy3,,,,2025-05-30 21:20:49,VVPR,4.239999771118164,0.0,2.53%
strategy3,,,,2025-05-30 21:20:49,EOSE,4.514999866485596,0.0,5.15%
strategy3,,,,2025-05-30 21:20:49,ASST,7.559999942779541,0.0,2.11%
strategy3,,,,2025-05-30 21:20:49,GPUS,4.900000095367432,0.0,2.84%
strategy3,,,,2025-05-30 21:20:49,FRGT,2.2100000381469727,0.0,4.14%
strategy3,,,,2025-05-30 21:20:49,ZKIN,2.2699999809265137,0.0,3.70%
strategy3,,,,2025-05-30 21:20:49,ATPC,1.75,0.0,3.27%
strategy3,,,,2025-05-30 21:20:49,APVO,4.699999809265137,0.0,4.12%
strategy3,,,,2025-05-30 21:20:49,SOC,27.51000022888184,0.0,8.21%
strategy5,10.0,0.0,0.0,2025-05-30 21:20:49,,,,
strategy5,,,,2025-05-30 21:20:49,DFDV,19.65999984741211,0.0,1.28%
strategy5,,,,2025-05-30 21:20:49,IONQ,43.20000076293945,0.0,5.70%
strategy5,,,,2025-05-30 21:20:49,DE,503.4500122070313,0.0,9.77%
strategy5,,,,2025-05-30 21:20:49,CEP,42.11000061035156,0.0,3.88%
strategy5,,,,2025-05-30 21:20:49,CLS,116.37000274658205,0.0,9.93%
strategy5,,,,2025-05-30 21:20:49,NAKA,22.43000030517578,0.0,2.28%
strategy5,,,,2025-05-30 21:20:49,ZS,251.1100006103516,0.0,9.99%
strategy5,,,,2025-05-30 21:20:49,AAP,48.36000061035156,0.0,7.51%
strategy5,,,,2025-05-30 21:20:49,DASH,204.5800018310547,0.0,9.92%
strategy5,,,,2025-05-30 21:20:49,GDXU,68.01000213623047,0.0,9.96%
strategy6,7.0,0.0,0.0,2025-05-30 21:20:49,,,,
strategy6,,,,2025-05-30 21:20:49,KDLY,24.940000534057617,0.0,2.41%
strategy6,,,,2025-05-30 21:20:49,RGC,740.97998046875,0.0,4.67%
strategy6,,,,2025-05-30 21:20:49,TNXP,42.02000045776367,0.0,6.00%
strategy6,,,,2025-05-30 21:20:49,BBW,52.02999877929688,0.0,10.00%
strategy6,,,,2025-05-30 21:20:49,AEVA,17.31999969482422,0.0,5.84%
strategy6,,,,2025-05-30 21:20:49,PGY,17.1299991607666,0.0,9.98%
strategy6,,,,2025-05-30 21:20:49,ARVN,7.5,0.0,10.00%
