종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
COGT,2025-07-22,11.53,8.53,0.3469230605536453,10.95 (5% 수익) 또는 3일 후 청산,14.23,없음,False
HCTI,2025-08-01,8.16,4.16,,7.75 (5% 수익) 또는 3일 후 청산,12.08,없음,False
AMSC,2025-08-02,59.69,10.0,0.0,56.71 (5% 수익) 또는 3일 후 청산,68.8,없음,False
HIMZ,2025-08-02,37.01,6.01,0.0,35.16 (5% 수익) 또는 3일 후 청산,49.33,없음,False
GNRC,2025-08-02,204.42,10.0,0.0,194.2 (5% 수익) 또는 3일 후 청산,228.44,없음,False
