symbol,price,avg_volume_value,price_increase,entry_price,stop_loss,profit_target,position_size
DFDV,35.529998779296875,41525948.57158172,172.37979444981605,37.30649871826172,53.4796709060669,35.441173782348635,0.04613380514972987
KDLY,22.82999992370605,37515818.480122566,120.5797012778866,23.971499919891354,42.05219957828521,22.772924923896785,0.026516119810399846
ARQQ,25.88999938964844,11540420.578006744,68.00778485404267,27.184499359130864,35.91689958572388,25.82527439117432,0.06226123094162625
CAPR,11.119999885559082,21356687.935525894,52.32876157554831,11.675999879837036,15.275999593734742,11.092199885845185,0.06486667115423449
ASST,8.039999961853027,84768738.88698786,34.67337092812402,8.44199995994568,14.999999642372131,8.019899961948395,0.025745655287443228
UPXI,12.770000457763672,30542438.318427086,27.57242922850703,13.408500480651856,17.424900627136232,12.738075456619264,0.06676874809094183
PGRE,5.760000228881836,12265223.002930164,27.152317044275016,6.048000240325928,6.836999988555909,5.745600228309631,0.1
LFMD,10.770000457763672,12806207.077842712,26.408449285348745,11.308500480651857,13.735500669479372,10.743075456619263,0.09318911908379372
SBSW,5.71999979019165,49452611.91504288,24.347824103890794,6.005999779701233,6.821999573707581,5.705699790716172,0.1
ETNB,9.609999656677246,15823507.206329346,23.205120790796503,10.090499639511108,12.272999095916749,9.585974657535553,0.09246737367925084
QURE,15.5,24505539.56297493,20.999215396308244,16.275000000000002,19.899600505828857,15.461250000000001,0.08980300021383084
AKRO,48.34999847412109,55783783.64764404,20.84479005863725,50.76749839782714,61.50599899291991,48.22912347793578,0.09455230355162735
