symbol,setup_type,signal_date,current_price,entry_price,stop_loss,risk_percent,target_price_1,target_price_2,score,volume_ratio,adr,vcp_pattern,risk_reward_ratio,position_sizing,status
FLYE,Breakout,2025-08-01,5.9099998474,6.4749600506,5.5500001907,14.285182497987602,6.500999832140001,7.09199981688,5,1.6648470153,11.6434555157,False,1.6416681899,1081,New
RBLX,Breakout,2025-08-01,137.7899932861,153.6017962646,135.6499938965,11.687234657839273,151.56899261471003,165.34799194332,5,2.8010164768,4.2740742582,False,6.4387865694,55,New
