symbol,added_date,added_timestamp,price,change_pct,volume,relative_volume,market_cap,eps_growth_qoq
EGO,,1754253567.850779,21.0,2.4390243902439046,3707000,2.0637860387778737,4267179264,90.61490014088008
BIO,,1754253567.85079,284.6000061035156,17.627613016418884,1106800,3.053496469107327,7565863424,396.5625
AWK,,1754253567.850797,145.72000122070312,3.907583794130831,2693100,2.1334038473832395,28429828096,40.97560975609756
BFAM,,1754253567.850803,125.0999984741211,10.610079718741794,1620800,2.972898530211537,7162400256,30.649314974418846
ATEC,,1754253567.850809,13.770000457763672,30.15123399868791,12996400,7.318342217884225,2037739776,20.73516096094939
TAK,,1754253567.850831,14.15999984741211,3.206993963700455,6279100,2.007192404820509,44720394240,200.0
STNG,,1754253567.850839,47.04999923706055,4.069896460625766,2243300,2.0845090490099207,2400316928,26.27419992097985
SXI,,1754253567.850845,181.1600036621093,9.96721963180136,300500,2.729336966394187,2186891008,2453.0921820303383
BGC,,1754253567.850851,9.479999542236328,2.265362180179631,6317400,2.1800684149138525,4511503360,118.87870491608142
NVT,,1754253567.850858,89.87999725341797,14.613618148502926,6166300,3.162027297951961,14797483008,3271.028037383178
AVNT,,1754253567.850863,33.790000915527344,7.031996332477264,1835300,2.6198174278597377,3093156864,200.0
NVST,,1754253567.850869,20.82999992370605,10.269987277610571,6198400,2.655966490990311,3530414336,46.66666666666666
SHW,,1754253567.850875,343.4100036621094,3.7868709484982777,4073900,2.4978598699529746,85623447552,49.7717801151022
SVV,,1754253567.850881,11.470000267028809,10.182520990912526,2019600,2.517920934880588,1784227328,200.0
RDDT,,1754307286.505929,188.63999938964844,17.466843322381663,27235400,3.329391611058772,35305107456,241.37548742258585
IRTC,,1754307286.505943,164.97000122070312,17.68441278368309,1883800,3.811829933326364,5303010304,53.68729641693811
ALGN,2025-08-18,1755451555.618285,136.52000427246094,5.821261983874493,7974600,6.554212832636307,10324237312,33.65654832135579
RKT,2025-08-18,1755451555.618316,16.540000915527344,11.983753574180112,55949700,3.277177804689113,39111086080,82.80843686795724
TILE,2025-08-18,1755451555.618325,24.61000061035156,19.35014359226621,1189000,3.3427985043155557,1553583232,150.43070296877403
