symbol,price,change_pct,volume,relative_volume,market_cap,eps_growth_qoq
AGCO,117.97000122070312,10.624532910635498,3156300,3.9418683795873255,8477600768,2898.095238095238
ALHC,13.779999732971191,5.999997945932245,14901100,4.432643663572308,2568462336,200.0
ALL,203.25,5.705222222980533,4538200,2.9190572979648546,52640395264,254.45378151260502
ALNY,392.239990234375,15.432608689014016,3353500,3.397153421465836,51827924992,31.379009825340543
AMSC,56.84999847412109,29.38097462653253,5312500,4.510349394658048,2427398400,458.0082987551867
APLD,13.140000343322754,31.006985973570767,137804100,2.6743111912906214,3274230528,74.37034153655408
APLS,22.34000015258789,17.57894817151522,7000200,2.7531624411200593,2898355712,54.29547302792085
APPF,267.3800048828125,3.1558612232038152,539800,2.0638632757489055,11442484224,14.648057865723482
ARGX,670.3300170898438,11.9287349419815,1377300,3.139348030072217,41549271040,44.780461323309865
AUPH,9.244999885559082,2.154692715077,5919800,3.571081706334963,1337529600,1533.589923023093
BTU,16.149999618530273,4.734108551391003,13362200,2.707520439832091,1953581696,12.418300653594772
BWA,36.79999923706055,6.573995186830683,5151300,2.105697027833151,8119065088,42.675159235668794
CMRE,10.09000015258789,5.654449749403345,1336000,2.5377470080877704,1502473472,186.30904723779022
CNMD,51.150001525878906,2.0143640776329796,1209400,2.9319016507886304,1618636928,254.8873426110007
COUR,12.640000343322754,5.685621262599416,5611000,2.17373758765878,1978764032,63.9072694461154
ERJ,57.58000183105469,5.015502294662433,6437200,3.5304247675981024,10606912512,60.96491228070175
EVTC,36.150001525878906,10.314314985962913,1185000,3.5276606301165963,2223374592,23.734825551172676
FSS,126.56999969482422,2.1137578145129288,1729300,2.9751227233105473,7451262976,54.21166306695464
HII,278.8599853515625,7.867862139207715,2038700,4.147328520924154,10706689024,21.138211382113823
KBR,46.7400016784668,2.680143252272416,3400500,2.2990072903872805,5941908480,52.63157894736842
LECO,243.5,9.031477187826997,1040200,2.7416251548456816,13307624448,21.022559436900252
LNC,38.11000061035156,11.43274783680457,6386100,3.319690666093698,6989814272,200.0
MAS,68.12999725341797,3.6512913036862216,5236400,2.3257676645571825,14410524672,45.16129032258064
MDXG,7.190000057220459,10.27607481984587,2778900,3.411067444348746,1059386496,36.95002135839385
META,773.4400024414062,11.252711841922626,38735900,3.0980974756310924,1884130115584,10.171833693823599
MMS,73.86000061035156,3.692260465353403,916800,2.0786523222727324,4108434944,134.4135352946888
MOD,134.55999755859375,18.42984888736208,4507900,4.153815030021148,7023233024,20.97560975609756
MTRN,105.3000030517578,3.6315347104036055,479100,2.331159984429739,2177775360,42.04994914679625
OI,13.010000228881836,2.6835055291281718,3607600,2.2026078479657603,1976756480,68.75
PI,154.5800018310547,26.487196619817976,2703300,5.382915173237754,4448396800,200.0
PRLB,43.119998931884766,9.91587926342017,390200,2.039686770603106,1031152576,200.0
PTC,214.8099975585937,6.073775806330661,2618200,2.380924955364856,25276641280,97.78674968382138
ROKU,94.16000366210938,2.3478300675101815,8818100,2.47786294490765,11730187264,22.83391470687521
RSI,20.15999984741211,25.529268479518862,11191900,7.820414875132182,4424068096,213.74318480917464
SPGI,551.0999755859375,4.1127383283080965,2494700,2.2587440657453546,166589988864,23.863636363636363
SUI,124.02999877929688,6.372213038085794,3204600,3.495075745182083,16216426496,200.0
TAL,10.9399995803833,8.424176560368046,15595200,2.4666959457286404,6474674176,200.0
TMDX,118.97000122070312,10.46425681690315,3866100,3.5875839029973093,4109597952,35.92009968071023
UAN,94.7300033569336,5.784478088941958,57300,2.305216575030173,1011299328,48.062312107133096
UDMY,7.610000133514404,8.869819494959174,3222900,2.7073675780642943,1093000832,200.0
USAR,12.710000038146973,13.99103563218176,6542500,2.2662259875589936,1343096704,207.84517582816687
VSEC,156.5399932861328,10.64461267555885,480800,2.0916928297454267,3024322560,200.0
XYL,144.6199951171875,10.735059998817608,3538900,2.9055862630662195,34608033792,33.72781065088758
ZWS,44.25,3.050771809937114,2933700,3.4126745626603125,7536533504,15.825688073394495
