symbol,price,change_pct,volume,relative_volume,market_cap,eps_growth_qoq
BBAI,5.230000019073486,25.119622819510855,297570200,3.482297380286441,1400619008,57.68498228511745
BWIN,44.540000915527344,6.402293994503783,2428700,3.7955850752100018,2935848448,169.13500644777304
CAR,171.86000061035156,16.91156504105549,3408100,2.155815512813484,6184325120,74.20837589376916
CLVT,4.099999904632568,3.015072487035231,14850200,2.4842007240608748,2834811136,45.82898852971846
CUK,23.26000022888184,7.834958544126169,5545200,2.7387490615986407,27144443904,824.3589743589743
DLO,11.15999984741211,8.771925910847255,4106000,4.24156355230431,3137974528,57.098578262920284
EDU,55.5,13.149848854770308,3994200,3.307059232641706,9228267520,173.26109423444302
ENLT,22.75,4.645815269159437,131900,5.05009252759875,2803587072,1732.0015515903801
EXEL,45.720001220703125,5.418497456062155,6362600,2.008154531046081,11870979072,14.124738132860482
KEP,12.609999656677246,21.483617703759904,1378500,3.357895377869801,17887678464,129.20048197894886
LTM,39.220001220703125,3.482848658786719,3435000,4.735938674075045,11789562880,30.649888394088382
NVCR,17.0,2.347979381803178,2517400,2.172707738961602,1931495040,47.939989684778986
OI,14.699999809265137,2.154270038542627,3006000,2.015461256344412,2349634816,89.6103896103896
SGRY,21.11000061035156,4.504949569515193,2784800,2.107419253937663,2782353408,65.25345622119816
SLNO,84.16999816894531,3.3775485898363655,2324500,2.0493694827592437,4323292672,21.808795684327105
TSAT,25.93000030517578,3.8862229819012883,229000,2.370371392688077,1187504000,87.69861690589101
USPH,79.04000091552734,4.494978256628879,350200,2.4570265908931455,1191485056,72.11616025813392
