symbol,market,close,market_cap,shares_outstanding,sector,industry,ema5,ema10,ema20,ema50,ema100,avg_volume_60d,avg_traded_value_60d,avg_traded_value_30d,avg_traded_value_10d,change_1d_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,atr_pct,adr_pct,relative_volume,distance_from_52w_low_pct,breakout_strength,date,preset,preset_label
ATOM,us,8.600000381469727,333017536.0,38722969.0,Technology,Semiconductor Equipment & Materials,6.934499401705945,6.244434351293978,5.580880841076906,4.812667590073391,4.284717671683232,2898375.0,15873299.386448199,11971691.605381701,29318906.380208336,38.93376901407408,120.2304851338841,224.5283046028459,200.17453238543985,9.185214363956765,10.63939988235526,12.540783315360585,354.5454843305938,23.943530156657776,2026-04-24,us_breakout_10m,US Breakout 10M
MTSR,us,70.5,7429021696.0,105376189.0,Healthcare,Biotechnology,44.48873418024996,38.92166485870444,36.619234521942225,34.184925423954574,31.525188005322104,1558828.5166666666,68756996.55866666,109204220.67603727,231071510.1013781,123.31327425244862,76.29406611893631,141.02564102564102,120.93387758420037,7.503242647273442,8.356135029035146,9.831184155795837,473.1707228192163,26.79816871977374,2025-11-13,us_breakout_10m,US Breakout 10M
MXL,us,60.31999969482422,5401412096.0,89545959.0,Technology,Semiconductors,41.224924919730505,34.07581785314552,27.91869668424901,22.45657636758999,19.990375422616175,2041050.0,63982224.23458894,106252849.8522451,281917638.6386045,76.11678743014369,251.5151528624346,227.64801843984475,259.4755496215823,6.96641745555752,7.36255326949463,7.7159589263733395,565.0496331245273,17.36055076819352,2026-04-24,us_breakout_10m,US Breakout 10M
POET,us,15.100000381469728,2305938944.0,152711182.0,Technology,Semiconductors,12.038051343739937,10.25177188352207,8.672385212543539,7.371606373564688,6.829589233929498,13707775.0,115480901.26957072,179830675.7701058,420399221.6774798,28.83959076306233,175.04555575590248,118.52388878307845,104.88467592865175,8.82213749789032,11.21188749821556,3.205177625755657,299.47091258622413,12.651850049206333,2026-04-24,us_breakout_10m,US Breakout 10M
ARMG,us,22.299999237060547,,,,,17.178291034285234,14.683307030780579,12.399615469804093,9.94589051282517,9.26318059525164,1104035.0,11002364.452995459,16327848.93749396,29434335.48755328,29.350345319721537,115.45892188550707,254.53099161054672,54.432132168168714,7.5150551333742595,11.168086140474966,3.199831079267485,381.1218583788566,11.88070929081525,2026-04-24,us_breakout_10m,US Breakout 10M
PDFS,us,46.4900016784668,1854519040.0,39890709.0,Technology,Software - Application,44.404333864750214,42.79592882900459,40.2472414865988,36.58470877176647,33.612032034686834,365365.0,12972968.460329903,15575939.816292657,22685074.75757599,5.9963543810223285,35.06683367697381,37.4224036718517,69.85750914492455,4.483297146479249,4.845167198495755,3.0105317236064733,167.95389427264445,2.6550067292980684,2026-04-24,us_breakout_10m,US Breakout 10M
LPTH,us,16.09000015258789,928531456.0,57708603.0,Technology,Electronic Components,14.974702092346012,14.338988229599078,13.414579073401816,12.23280261132276,11.045765634104484,2455481.6666666665,29236326.872285206,28394979.071306653,42255864.887431465,10.054721467411243,46.40582791341434,29.340841602280232,118.91156954228887,8.279321848237235,9.628984749547302,2.6236104803026783,712.626262504633,10.864712707328495,2026-04-24,us_breakout_10m,US Breakout 10M
WOLF,us,31.229999542236328,1509615744.0,48338641.0,Technology,Semiconductors,28.062165906634583,26.204025303937318,23.736386049703782,20.95385789970197,19.28320775478188,2335176.6666666665,49410374.66048029,63728209.84051492,131322201.3143349,13.357533238060526,85.67181990999855,73.88642056912059,5.936228043330716,10.856776725771002,11.264754487515656,2.557763038660991,7907.692484037418,11.27287987353823,2026-04-24,us_breakout_10m,US Breakout 10M
SYNA,us,93.86000061035156,3659608064.0,38729741.0,Technology,Semiconductors,87.0301421913014,83.44853248864388,80.03528538896876,78.40596032871622,77.38485419000517,757680.0,60728935.82206302,56063939.0285068,67459827.64935811,10.488527348079835,28.25908748146473,9.64953537788633,36.28575122281343,4.550089258875775,5.078687689873908,2.3759784287546792,76.52812458656773,8.919960990416723,2026-04-24,us_breakout_10m,US Breakout 10M
INTW,us,167.38999938964844,,,,,130.3920468675979,117.76649630193376,101.52216064755163,80.86758402218037,67.9208205419577,763123.3333333334,55787038.367443085,62242875.91922335,89787712.44471231,46.8075814049127,221.03951160168415,183.47163683719793,261.14348414295733,8.693341638354028,10.60064276524397,2.317229473463943,1118.2678470017631,8.072386122722499,2026-04-24,us_breakout_10m,US Breakout 10M
