symbol,market,close,market_cap,shares_outstanding,sector,industry,ema5,ema10,ema20,ema50,ema100,avg_volume_60d,avg_traded_value_60d,avg_traded_value_30d,avg_traded_value_10d,change_1d_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,atr_pct,adr_pct,relative_volume,distance_from_52w_low_pct,breakout_strength,date,preset,preset_label
MTSR,us,70.5,7429021696.0,105376189.0,Healthcare,Biotechnology,44.48873418024996,38.92166485870444,36.619234521942225,34.184925423954574,31.525188005322104,1558828.5166666666,68756996.55866666,109204220.67603727,231071510.1013781,123.31327425244862,76.29406611893631,141.02564102564102,120.93387758420037,7.503242647273442,8.356135029035146,9.831184155795837,473.1707228192163,26.79816871977374,2025-11-13,us_breakout_strength,US Breakout Strength
ATOM,us,8.600000381469727,333017536.0,38722969.0,Technology,Semiconductor Equipment & Materials,6.934499401705945,6.244434351293978,5.580880841076906,4.812667590073391,4.284717671683232,2898375.0,15873299.386448199,11971691.605381701,29318906.380208336,38.93376901407408,120.2304851338841,224.5283046028459,200.17453238543985,9.185214363956765,10.63939988235526,12.540783315360585,354.5454843305938,23.943530156657776,2026-04-24,us_breakout_strength,US Breakout Strength
ONMD,us,1.100000023841858,57416404.0,52196729.0,Healthcare,Health Information Services,0.9610781589941448,0.925005188798918,0.8909758732982649,0.8765250582044495,0.9546784507742236,4302495.0,4648159.336250658,694480.7025900153,1459351.906493505,23.734536064330115,25.28473776265079,12.130480824772727,-53.38982742636124,8.201298984895763,11.157719633032473,13.445012934751364,254.83871463930444,21.70550126087101,2026-04-24,us_breakout_strength,US Breakout Strength
TIVC,us,1.3300000429153442,3827643.0,2877926.0,Healthcare,Medical Devices,1.195689824149963,1.1385457430128854,1.0745538879306702,1.0645114172356567,1.3334120357682337,254216.66666666666,253383.03658362894,171603.76398762068,363536.30968133605,18.750003326152044,34.47927328379458,6.40000343322753,-53.30056110405212,8.367346499766324,9.882497975814516,6.925712991022119,84.21053152978375,20.737292439343797,2026-04-24,us_breakout_strength,US Breakout Strength
ATMV,us,10.300000190734863,,,,,8.875592270165388,8.448233083142927,8.21445986769798,9.072750245391852,10.159540909973614,352100.36666666664,4289236.422456164,5491794.649780474,15443736.749127418,31.295491573399083,44.60199327701795,-18.961446421549113,-12.563663631451016,13.747502375290518,14.314976969640188,17.73913524781676,89.68693400283732,17.892440809156454,2025-12-09,us_breakout_strength,US Breakout Strength
MXL,us,60.31999969482422,5401412096.0,89545959.0,Technology,Semiconductors,41.224924919730505,34.07581785314552,27.91869668424901,22.45657636758999,19.990375422616175,2041050.0,63982224.23458894,106252849.8522451,281917638.6386045,76.11678743014369,251.5151528624346,227.64801843984475,259.4755496215823,6.96641745555752,7.36255326949463,7.7159589263733395,565.0496331245273,17.36055076819352,2026-04-24,us_breakout_strength,US Breakout Strength
LIDR,us,2.190000057220459,99307568.0,45345919.0,Technology,Software - Infrastructure,1.8863117080057634,1.8164396961288287,1.7897673669740524,1.8080935217332814,1.9033656603289317,4437258.333333333,9551186.19150559,18286735.049286287,26536395.925195612,29.585797814844426,13.471508639307439,9.50000286102295,-10.975608810554927,9.148726407797904,8.504728153505953,17.31072348820356,337.1257711574187,15.573455071383114,2026-04-24,us_breakout_strength,US Breakout Strength
INVE,us,4.369999885559082,104653064.0,23948070.0,Industrials,Building Products & Equipment,4.035129343441323,3.91086906261474,3.782697779952151,3.6052970189129554,3.535751154246398,137848.33333333334,519243.5900885529,909218.2470774649,1652316.8711638448,12.628859707875794,15.303428220154336,36.562494388781566,16.22340150646302,4.59300544560831,5.204832254090753,5.087180321865272,45.18272091045799,14.085543153927208,2026-04-24,us_breakout_strength,US Breakout Strength
PODC,us,3.200000047683716,87961488.0,27487964.0,Communication Services,Internet Content & Information,2.8105393680986355,2.614163135223897,2.464207566594818,2.409983317826295,2.365790728402667,129525.0,347407.18922058743,112245.87155792449,167280.59531450272,18.518518191469724,42.8571443776695,17.647059339140547,58.415845440551514,6.868302719767351,8.35617132685583,4.93337465137899,146.153858850694,13.55804697100924,2026-04-24,us_breakout_strength,US Breakout Strength
MX,us,5.25,191314496.0,36440854.0,Technology,Semiconductors,4.331477996263713,3.8686283990153845,3.4716250142256437,3.1247759543270472,3.011720150372704,564553.3333333334,2039502.4496716924,3018852.403293451,7638242.609690031,22.95082022133508,84.85916051640459,75.58528372089907,74.41860520378253,5.482994131490485,5.7636800457084405,7.363860641434503,140.8256806986933,13.295824000920273,2026-04-24,us_breakout_strength,US Breakout Strength
