symbol,company_name,ipo_date,ipo_price,market_cap,sector,industry,volume,source
PCPPF,PC Partner Group Ltd/ADR,2025-05-21,0.0,0,,,0,sec_edgar
BSAAU,BEST SPAC I Acquisition Corp.,2025-05-21,0.0,0,,,0,sec_edgar
ADYYF,Adyen N.V./ADR,2025-05-21,0.0,0,,,0,sec_edgar
CHPGU,ChampionsGate Acquisition Corp,2025-05-21,0.0,0,,,0,sec_edgar
VRBCF,Virbac SA/ADR,2025-05-21,0.0,0,,,0,sec_edgar
SYAXF,Sayona Mining Ltd,2025-05-21,0.0,0,,,0,sec_edgar
VTBAS,"Vestible Assets, LLC",2025-05-21,0.0,0,,,0,sec_edgar
IPSOF,IPSOS/ADR,2025-05-21,0.0,0,,,0,sec_edgar
ONWRF,Onward Medical N.V./ADR,2025-05-21,0.0,0,,,0,sec_edgar
CDROW,"Codere Online Luxembourg, S.A.",2025-05-21,0.0,0,,,0,sec_edgar
CRCL,Circle Internet Group,2024-01-01,225.49,54688092160,Financial Services,Capital Markets,38467830,yahoo_finance
VOYG,"Voyager Technologies, Inc.",2024-01-01,46.247,2688837632,Industrials,Aerospace & Defense,735092,yahoo_finance
SOLV,Solventum Corporation,2024-01-01,73.35,12690502656,Healthcare,Medical Instruments & Supplies,156668,yahoo_finance
ARM,Arm Holdings plc,2024-01-01,144.13,152671158272,Technology,Semiconductors,1218614,yahoo_finance
FRHC,Freedom Holding Corp.,2024-01-01,138.94,8503906304,Financial Services,Financial Conglomerates,51874,yahoo_finance
CAVA,"CAVA Group, Inc.",2024-01-01,74.91,8664090624,Consumer Cyclical,Restaurants,1119826,yahoo_finance
