symbol,company_name,ipo_date,price_range,shares_offered,exchange,type,source,form_type,cik
N/A,Calisa Acquisition Corp  (CIK 0002026767),2025-07-07,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002026767
N/A,"WINDTREE THERAPEUTICS INC /DE/  (WINT, WINTW)  (CIK 0000946486)",2025-07-07,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0000946486
N/A,"Nature's Miracle Holding Inc.  (NMHI, NMHIW)  (CIK 0001947861)",2025-07-07,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001947861
N/A,STARRY SEA ACQUISITION CORP  (SSEA)  (CIK 0002059165),2025-07-07,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002059165
N/A,StoneBridge Acquisition II Corp  (APAC)  (CIK 0002043630),2025-07-07,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002043630
N/A,Iron Horse Acquisitions Corp. II  (CIK 0002051985),2025-07-03,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002051985
N/A,"SPECTRAL IP, INC.  (SMIP)  (CIK 0002042176)",2025-07-03,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002042176
N/A,"General Enterprise Ventures, Inc.  (GEVI)  (CIK 0000894556)",2025-07-03,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0000894556
N/A,Permuto Capital AVGO Trust I  (CIK 0002055490),2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002055490
N/A,FG Merger III Corp.  (CIK 0001997389),2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001997389
N/A,DevvStream Corp.  (DEVS)  (CIK 0001854480),2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001854480
N/A,RYVYL Inc.  (RVYL)  (CIK 0001419275),2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001419275
N/A,"First Choice Healthcare Solutions, Inc.  (FCHS)  (CIK 0001416876)",2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001416876
N/A,Permuto Capital MSFT Trust I  (CIK 0002051974),2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002051974
N/A,Permuto Capital AAPL Trust I  (CIK 0002055491),2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002055491
N/A,"Entero Therapeutics, Inc.  (ENTO)  (CIK 0001604191)",2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001604191
N/A,"Reliance Global Group, Inc.  (RELI, RELIW)  (CIK 0001812727)",2025-07-02,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001812727
N/A,Curanex Pharmaceuticals Inc  (CURX)  (CIK 0002025942),2025-07-01,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002025942
N/A,BRB Foods Inc.  (CIK 0001976870),2025-07-01,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001976870
N/A,SCIENTIFIC INDUSTRIES INC  (SCND)  (CIK 0000087802),2025-07-01,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0000087802
N/A,AParadise Acquisition Corp.  (APAD)  (CIK 0001956439),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001956439
N/A,Currenc Group Inc.  (CURR)  (CIK 0001862935),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001862935
N/A,"Cellectar Biosciences, Inc.  (CLRB)  (CIK 0001279704)",2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001279704
N/A,MSM FRONTIER CAPITAL ACQUISITION CORP.  (MSMU)  (CIK 0002061918),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002061918
N/A,ORAGENICS INC  (OGEN)  (CIK 0001174940),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001174940
N/A,MULLEN AUTOMOTIVE INC.  (MULN)  (CIK 0001499961),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001499961
N/A,D. Boral ARC Acquisition I Corp.  (CIK 0002065779),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002065779
N/A,Athena Bitcoin Global  (ABIT)  (CIK 0001095146),2025-06-30,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001095146
N/A,INFINT Acquisition Corp 2  (CIK 0002069378),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002069378
N/A,iSpecimen Inc.  (ISPC)  (CIK 0001558569),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001558569
N/A,ESG Inc.  (ESGH)  (CIK 0001883835),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001883835
N/A,"ADAPTIN BIO, INC.  (CIK 0001938571)",2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001938571
N/A,La Rosa Holdings Corp.  (LRHC)  (CIK 0001879403),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001879403
N/A,Origin Investment Corp I  (CIK 0002044523),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002044523
N/A,"Nova Lifestyle, Inc.  (NVFY)  (CIK 0001473334)",2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001473334
N/A,NMP Acquisition Corp.  (NMP)  (CIK 0002054876),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002054876
N/A,Papa Medical Inc.  (CIK 0002024283),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002024283
N/A,"GT Biopharma, Inc.  (GTBP)  (CIK 0000109657)",2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0000109657
N/A,"CapsoVision, Inc  (CV)  (CIK 0001378325)",2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001378325
N/A,Nomadar Corp.  (CIK 0001994214),2025-06-27,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001994214
N/A,Silver Pegasus Acquisition Corp.  (CIK 0002028735),2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002028735
N/A,Bitwise Bitcoin & Ethereum ETF  (CIK 0002046328),2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002046328
N/A,Bitwise Aptos ETF  (CIK 0002059135),2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002059135
N/A,Globa Terra Acquisition Corp  (GTER)  (CIK 0002043766),2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002043766
N/A,"GeoVax Labs, Inc.  (GOVX, GOVXW)  (CIK 0000832489)",2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0000832489
N/A,Bitwise Dogecoin ETF  (CIK 0002053791),2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002053791
N/A,1RT Acquisition Corp.  (ONCH)  (CIK 0002054272),2025-06-26,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002054272
N/A,Vertical Data Inc.  (CIK 0002033264),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002033264
N/A,Maison Solutions Inc.  (MSS)  (CIK 0001892292),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001892292
N/A,Vendome Acquisition Corp I  (VNME)  (CIK 0002055879),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002055879
N/A,Lifeward Ltd.  (LFWD)  (CIK 0001607962),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001607962
N/A,FIGX Capital Acquisition Corp.  (FIGX)  (CIK 0002059033),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002059033
