symbol,company_name,ipo_date,filing_date,price_range,shares_offered,exchange,type,source,form_type,cik,accession_number,file_description,business_address,sic_code,fiscal_year_end
N/A,"Seneca Bancorp, Inc.  (SNNF)  (CIK 0002072421)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002072421,,S-1/A,N/A,,
N/A,"Ambiq Micro, Inc.  (AMBQ)  (CIK 0001500412)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001500412,,424B4,N/A,,
N/A,WEBUY GLOBAL LTD  (WBUY)  (CIK 0001946703),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001946703,,PROSPECTUS,N/A,,
N/A,"J-Star Holding Co., Ltd.  (YMAT)  (CIK 0001875016)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001875016,,424B4,N/A,,
N/A,"Figma, Inc.  (FIG)  (CIK 0001579878)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001579878,,424B4,N/A,,
N/A,AParadise Acquisition Corp.  (APAD)  (CIK 0001956439),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001956439,,PROSPECTUS,N/A,,
N/A,Can-Fite BioPharma Ltd.  (CANF)  (CIK 0001536196),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001536196,,PROSPECTUS,N/A,,
N/A,Linkhome Holdings Inc.  (LHAI)  (CIK 0002017758),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,424B4,0002017758,,PROSPECTUS,N/A,,
N/A,Accelerant Holdings  (ARX)  (CIK 0001997350),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001997350,,424B4,N/A,,
N/A,iSpecimen Inc.  (ISPC)  (CIK 0001558569),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001558569,,PROSPECTUS,N/A,,
N/A,"DEFSEC Technologies Inc.  (DFSC, DFSCW)  (CIK 0001889823)",2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001889823,,FORM 424B4,N/A,,
N/A,NIQ Global Intelligence plc  (NIQ)  (CIK 0002054696),2025-07-24,2025-07-24,N/A,N/A,N/A,IPO,sec_edgar,424B4,0002054696,,424B4,N/A,,
N/A,"CARLSMED, INC.  (CARL)  (CIK 0001794546)",2025-07-24,2025-07-24,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001794546,,424B4,N/A,,
N/A,"McGraw Hill, Inc.  (MH)  (CIK 0001951070)",2025-07-24,2025-07-24,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001951070,,424B4,N/A,,
N/A,ORIENTAL RISE HOLDINGS Ltd  (ORIS)  (CIK 0001964664),2025-07-23,2025-07-23,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001964664,,PROSPECTUS,N/A,,
N/A,Cre8 Enterprise Ltd  (CRE)  (CIK 0002003977),2025-07-23,2025-07-23,N/A,N/A,N/A,IPO,sec_edgar,424B4,0002003977,,PROSPECTUS,N/A,,
N/A,RYVYL Inc.  (RVYL)  (CIK 0001419275),2025-07-16,2025-07-16,N/A,N/A,N/A,IPO,sec_edgar,424B1,0001419275,,FORM 424B1,N/A,,
N/A,"Aura Minerals Inc.  (AUGO, ORAAF)  (CIK 0001468642)",2025-07-16,2025-07-16,N/A,N/A,N/A,IPO,sec_edgar,424B1,0001468642,,PROSPECTUS,N/A,,
N/A,"Sound Point Meridian Capital, Inc.  (SPMA, SPMC)  (CIK 0001930147)",2025-07-10,2025-07-10,N/A,N/A,N/A,IPO,sec_edgar,424B1,0001930147,,424B1,N/A,,
N/A,KENTUCKY POWER CO  (CIK 0000055373),2025-06-09,2025-06-09,N/A,N/A,N/A,IPO,sec_edgar,424B1,0000055373,,424B1,N/A,,
N/A,Founder Group Ltd  (FGL)  (CIK 0001989930),2025-05-27,2025-05-27,N/A,N/A,N/A,IPO,sec_edgar,424B1,0001989930,,PROSPECTUS,N/A,,
N/A,CLECO POWER LLC  (CIK 0000018672),2025-03-07,2025-03-07,N/A,N/A,N/A,IPO,sec_edgar,424B1,0000018672,,424B1,N/A,,
N/A,ROCHESTER GAS & ELECTRIC CORP  (CIK 0000084557),2025-02-10,2025-02-10,N/A,N/A,N/A,IPO,sec_edgar,424B1,0000084557,,424B1,N/A,,
N/A,ODYSSEY MARINE EXPLORATION INC  (OMEX)  (CIK 0000798528),2025-02-07,2025-02-07,N/A,N/A,N/A,IPO,sec_edgar,424B1,0000798528,,424B1,N/A,,
N/A,Titan America SA  (TTAM)  (CIK 0002035304),2025-02-07,2025-02-07,N/A,N/A,N/A,IPO,sec_edgar,424B1,0002035304,,424B1,N/A,,
N/A,NEW YORK STATE ELECTRIC & GAS CORP  (CIK 0000071675),2025-02-06,2025-02-06,N/A,N/A,N/A,IPO,sec_edgar,424B1,0000071675,,424B1,N/A,,
N/A,BBB FOODS INC  (TBBB)  (CIK 0001978954),2025-02-06,2025-02-06,N/A,N/A,N/A,IPO,sec_edgar,424B1,0001978954,,424B1,N/A,,
N/A,Yimutian Inc.  (YMT)  (CIK 0001991605),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001991605,,REGISTRATION STATEMENT,N/A,,
N/A,CHARMING WOW INC  (CIK 0002071350),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002071350,,FORM F-1,N/A,,
N/A,VISTEK LTD  (VTEK)  (CIK 0002013100),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002013100,,F-1/A,N/A,,
N/A,MAINZ BIOMED N.V.  (MYNZ)  (CIK 0001874252),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001874252,,REGISTRATION STATEMENT,N/A,,
N/A,Transten Global Group Ltd  (CIK 0002018836),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002018836,,REGISTRATION STATEMENT,N/A,,
N/A,"REZOLVE AI PLC  (RZLV, RZLVW)  (CIK 0001920294)",2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001920294,,F-1,N/A,,
N/A,Charming Medical Ltd  (MCTA)  (CIK 0002035992),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002035992,,REGISTRATION STATEMENT,N/A,,
N/A,TechCreate Group Ltd.  (CIK 0002047190),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002047190,,F-1,N/A,,
N/A,Magnitude International Ltd  (MAGH)  (CIK 0002046117),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002046117,,F-1/A,N/A,,
N/A,DarkIris Inc.  (DKI)  (CIK 0002058584),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002058584,,F-1/A,N/A,,
N/A,Agencia Comercial Spirits Ltd.  (AGCC)  (CIK 0002060016),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002060016,,AMENDMENT NO. 1 TO FORM F-1,N/A,,
N/A,Neo-Concept International Group Holdings Ltd  (NCI)  (CIK 0001916331),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001916331,,REGISTRATION STATEMENT,N/A,,
N/A,Nasus Pharma Ltd  (NSRX)  (CIK 0002029039),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002029039,,F-1/A,N/A,,
N/A,Zi Yun Dong Fang Ltd  (YLY)  (CIK 0002053115),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002053115,,F-1/A,N/A,,
N/A,Zerolimit Technology Holding Co. Ltd.  (ZDAN)  (CIK 0001992092),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001992092,,AMENDMENT NO. 1,N/A,,
N/A,Diginex Ltd  (DGNX)  (CIK 0002010499),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002010499,,F-1,N/A,,
N/A,Currenc Group Inc.  (CURR)  (CIK 0001862935),2025-07-28,2025-07-28,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001862935,,F-1/A,N/A,,
N/A,Phaos Technology (Cayman) Holdings Ltd  (POAS)  (CIK 0002024258),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002024258,,F-1/A,N/A,,
N/A,Linkage Global Inc  (LGCB)  (CIK 0001969401),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001969401,,AMENDMENT NO. 2 TO FORM F-1,N/A,,
N/A,OTSAW Ltd  (OTSA)  (CIK 0002046462),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002046462,,REGISTRATION STATEMENT,N/A,,
N/A,"Hang Feng Technology Innovation Co., Ltd.  (FOFO)  (CIK 0002060083)",2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002060083,,REGISTRATION STATEMENT,N/A,,
N/A,Gelteq Ltd  (GELS)  (CIK 0001920092),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001920092,,REGISTRATION STATEMENT,N/A,,
N/A,ELC Group Holdings Ltd.  (ELCG)  (CIK 0002039096),2025-07-25,2025-07-25,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002039096,,F-1/A,N/A,,
N/A,"Jeffs' Brands Ltd  (JFBR, JFBRW)  (CIK 0001885408)",2025-07-24,2025-07-24,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001885408,,AMENDMENT NO. 1 TO FORM F-1,N/A,,
N/A,Zenta Group Co Ltd  (CIK 0002011458),2025-07-24,2025-07-24,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002011458,,F-1/A,N/A,,
N/A,XINZI TECHNOLOGY INC  (CIK 0002075664),2025-07-24,2025-07-24,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002075664,,FORM F-1 REGISTRATION STATEMENT,N/A,,
N/A,Uptrend Holdings Ltd  (UPX)  (CIK 0002046370),2025-07-23,2025-07-23,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002046370,,REGISTRATION STATEMENT,N/A,,
N/A,INNOCAN PHARMA Corp  (CIK 0001889791),2025-07-23,2025-07-23,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001889791,,F-1,N/A,,
N/A,GATES GROUP Inc.  (GTSG)  (CIK 0002033738),2025-07-23,2025-07-23,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002033738,,F-1/A,N/A,,
N/A,CTW Cayman  (CTW)  (CIK 0002047148),2025-07-22,2025-07-22,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002047148,,REGISTRATION STATEMENT,N/A,,
N/A,Going International Holding Co Ltd  (CIK 0001968532),2025-07-22,2025-07-22,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001968532,,REGISTRATION STATEMENT,N/A,,
N/A,"FST Corp.  (KBSX, FSTWF)  (CIK 0002014254)",2025-07-22,2025-07-22,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002014254,,REGISTRATION STATEMENT,N/A,,
N/A,Platinum Analytics Cayman Ltd  (PLTS)  (CIK 0002053033),2025-07-21,2025-07-21,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002053033,,F-1/A,N/A,,
N/A,TryHard Holdings Ltd  (THH)  (CIK 0002044241),2025-07-21,2025-07-21,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002044241,,F-1/A,N/A,,
N/A,Rubico Inc.  (RUBI)  (CIK 0001943421),2025-07-21,2025-07-21,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001943421,,F-1,N/A,,
N/A,Boqii Holding Ltd  (BQ)  (CIK 0001815021),2025-07-21,2025-07-21,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001815021,,AMENDMENT NO. 5 TO FORM F-1,N/A,,
N/A,"Webull Corp  (BULL, BULLW)  (CIK 0001866364)",2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001866364,,REGISTRATION STATEMENT,N/A,,
N/A,"TNL Mediagene  (TNMG, TNMWF)  (CIK 0002013186)",2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002013186,,REGISTRATION STATEMENT,N/A,,
N/A,"Blue Gold Ltd  (BGL, BGLWW)  (CIK 0002019435)",2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002019435,,REGISTRATION STATEMENT,N/A,,
N/A,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C  (CIK 0002010959),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002010959,,REGISTRATION STATEMENT,N/A,,
N/A,Acco Group Holdings Ltd  (CIK 0002038378),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002038378,,REGISTRATION STATEMENT,N/A,,
N/A,Beta FinTech Holdings Ltd  (BTFT)  (CIK 0002046216),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002046216,,REGISTRATION STATEMENT,N/A,,
N/A,Multi Ways Holdings Ltd  (MWG)  (CIK 0001941500),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001941500,,F-1/A,N/A,,
N/A,Gifts International Holdings Ltd  (GINT)  (CIK 0002032274),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002032274,,REGISTRATION STATEMENT,N/A,,
N/A,Bullish  (CIK 0001872195),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001872195,,F-1,N/A,,
N/A,Texxon Holding Ltd  (CIK 0002014337),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002014337,,REGISTRATION STATEMENT,N/A,,
N/A,Eastern International Ltd.  (CIK 0002013320),2025-07-18,2025-07-18,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002013320,,F-1/A,N/A,,
N/A,BUUU Group Ltd  (BUUU)  (CIK 0002047273),2025-07-17,2025-07-17,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002047273,,REGISTRATION STATEMENT,N/A,,
N/A,RedCloud Holdings plc  (RCT)  (CIK 0002027360),2025-07-17,2025-07-17,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002027360,,F-1,N/A,,
N/A,Megan Holdings Ltd.  (CIK 0001995075),2025-07-17,2025-07-17,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001995075,,REGISTRATION STATEMENT,N/A,,
N/A,Club Versante Group Ltd  (CIK 0002066899),2025-07-15,2025-07-15,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002066899,,REGISTRATION STATEMENT,N/A,,
