ticker,company_name,date,price_range,volume,exchange,sector,source
,"Slide Insurance Holdings, Inc.",6/18/2025,$17.00,"24,000,000",NASDAQ Global Select,,finance_calendars
,Fuxing China Group Ltd,6/18/2025,$4.00-6.00,"1,500,000",NASDAQ Capital,,finance_calendars
,ENIGMATIG LTD,6/18/2025,$5.00,"2,845,200",NYSE MKT,,finance_calendars
,Axiom Intelligence Acquisition Corp 1,6/18/2025,$10.00,"17,500,000",NASDAQ Global,,finance_calendars
,"Caris Life Sciences, Inc.",6/18/2025,$21.00,"23,529,412",NASDAQ Global Select,,finance_calendars
,Pioneer Acquisition I Corp,6/18/2025,$10.00,"22,000,000",NASDAQ Global,,finance_calendars
,Jyong Biotech Ltd.,6/17/2025,$7.50,"2,666,667",NASDAQ Global,,finance_calendars
,Blue Acquisition Corp/Cayman,6/13/2025,$10.00,"17,500,000",NASDAQ Global,,finance_calendars
,BEST SPAC I Acquisition Corp.,6/13/2025,$10.00,"5,500,000",NASDAQ Capital,,finance_calendars
,"AIRO Group Holdings, Inc.",6/13/2025,$10.00,"6,000,000",NASDAQ Global,,finance_calendars
,"Chime Financial, Inc.",6/12/2025,$27.00,"32,000,000",NASDAQ Global Select,,finance_calendars
,Vantage Corp (Singapore),6/12/2025,$4.00,"3,250,000",NYSE MKT,,finance_calendars
,"Voyager Technologies, Inc./DE",6/11/2025,$31.00,"12,348,387",NYSE,,finance_calendars
,Ategrity Specialty Insurance Co Holdings,6/11/2025,$17.00,"6,666,667",NYSE,,finance_calendars
,Blue Water Acquisition Corp. III,6/10/2025,$10.00,"22,000,000",NASDAQ Global,,finance_calendars
,707 Cayman Holdings Ltd.,6/09/2025,$4.00,"2,500,000",NASDAQ Capital,,finance_calendars
,"Omada Health, Inc.",6/06/2025,$19.00,"7,900,000",NASDAQ Global Select,,finance_calendars
,"Circle Internet Group, Inc.",6/05/2025,$31.00,"34,000,000",NYSE,,finance_calendars
,"CSLM Acquisition Corp II, Ltd",6/18/2025,$,,,,finance_calendars_filed
,BM Acquisition Corp.,6/17/2025,$,,,,finance_calendars_filed
,Camerry New Material Tech Ltd.,6/17/2025,$,,,,finance_calendars_filed
,"RPM Interactive, Inc.",6/16/2025,$,,,,finance_calendars_filed
,Solarius Capital Acquisition Corp.,6/16/2025,$,,,,finance_calendars_filed
,"Kilcoy Global Foods, Ltd.",6/16/2025,$,,,,finance_calendars_filed
,GEBE Environmental Technology Ltd,6/13/2025,$,,,,finance_calendars_filed
,DarkIris Inc.,6/13/2025,$,,,,finance_calendars_filed
,Indigo Acquisition Corp.,6/12/2025,$,,,,finance_calendars_filed
,STARRY SEA ACQUISITION CORP,6/12/2025,$,,,,finance_calendars_filed
,1RT Acquisition Corp.,6/11/2025,$,,,,finance_calendars_filed
,EQV Ventures Acquisition Corp. II,6/10/2025,$,,,,finance_calendars_filed
,OTSAW Ltd,6/09/2025,$,,,,finance_calendars_filed
,SUN,6/09/2025,$,,,,finance_calendars_filed
,Yimutian Inc.,6/09/2025,$,,,,finance_calendars_filed
,Gifts International Holdings Ltd,6/06/2025,$,,,,finance_calendars_filed
,"CoastalSouth Bancshares, Inc.",6/06/2025,$,,,,finance_calendars_filed
,"Cantor Equity Partners III, Inc.",6/06/2025,$,,,,finance_calendars_filed
,HCM III ACQUISITION CORP.,6/06/2025,$,,,,finance_calendars_filed
,Oxley Bridge Acquisition Ltd,6/05/2025,$,,,,finance_calendars_filed
,Beta FinTech Holdings Ltd,6/04/2025,$,,,,finance_calendars_filed
,TryHard Holdings Ltd,6/03/2025,$,,,,finance_calendars_filed
,C&K Group Ltd,6/02/2025,$,,,,finance_calendars_filed
