symbol,company_name,ipo_date,filing_date,price_range,shares_offered,exchange,type,source,form_type,cik,accession_number,file_description,business_address,sic_code,fiscal_year_end
CUBT,Curative Biotechnology Inc  (CUBT)  (CIK 0001400271),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001400271,,S-1/A,N/A,,
N/A,Megan Holdings Ltd.  (CIK 0001995075),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001995075,,REGISTRATION STATEMENT,N/A,,
N/A,BGIN BLOCKCHAIN Ltd  (CIK 0001945565),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001945565,,REGISTRATION STATEMENT,N/A,,
N/A,Antharas Inc  (CIK 0002010218),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002010218,,F-1/A,N/A,,
N/A,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C  (CIK 0002010959),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002010959,,REGISTRATION STATEMENT,N/A,,
UPX,Uptrend Holdings Ltd  (UPX)  (CIK 0002046370),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002046370,,REGISTRATION STATEMENT,N/A,,
UHP,Ultra High Point Holdings Ltd  (UHP)  (CIK 0002034767),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002034767,,F-1/A,N/A,,
WYFI,"WhiteFiber, Inc.  (WYFI)  (CIK 0002042022)",2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002042022,,REGISTRATION STATEMENT,N/A,,
INM,InMed Pharmaceuticals Inc.  (INM)  (CIK 0001728328),2025-08-01,2025-08-01,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001728328,,PRE-EFFECTIVE AMENDMENT NO. 1 TO FORM S-1,N/A,,
,BGIN BLOCKCHAIN Ltd  (CIK 0001945565),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1945565,,REGISTRATION STATEMENT,,,
,Megan Holdings Ltd.  (CIK 0001995075),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1995075,,REGISTRATION STATEMENT,,,
,Antharas Inc  (CIK 0002010218),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010218,,F-1/A,,,
,Antharas Inc  (CIK 0002010218),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010218,,F-1/A,,,
,"Lomond Therapeutics Holdings, Inc.  (CIK 0001900520)",2025-08-01,2025-08-01,,,,IPO,sec_edgar,S-1,1900520,,AMENDMENT NO. 4 TO FORM S-1,,,
,"EON Resources Inc.  (EONR, EONR-WT)  (CIK 0001842556)",2025-08-01,2025-08-01,,,,IPO,sec_edgar,S-1,1842556,,REGISTRATION STATEMENT,,,
,BGIN BLOCKCHAIN Ltd  (CIK 0001945565),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1945565,,REGISTRATION STATEMENT,,,
,Megan Holdings Ltd.  (CIK 0001995075),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1995075,,REGISTRATION STATEMENT,,,
,BGIN BLOCKCHAIN Ltd  (CIK 0001945565),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1945565,,REGISTRATION STATEMENT,,,
,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C  (CIK 0002010959),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010959,,REGISTRATION STATEMENT,,,
,Antharas Inc  (CIK 0002010218),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010218,,F-1/A,,,
,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C  (CIK 0002010959),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010959,,REGISTRATION STATEMENT,,,
,"EON Resources Inc.  (EONR, EONR-WT)  (CIK 0001842556)",2025-08-01,2025-08-01,,,,IPO,sec_edgar,S-1,1842556,,REGISTRATION STATEMENT,,,
,"Lomond Therapeutics Holdings, Inc.  (CIK 0001900520)",2025-08-01,2025-08-01,,,,IPO,sec_edgar,S-1,1900520,,AMENDMENT NO. 4 TO FORM S-1,,,
,AMBITIONS ENTERPRISE MANAGEMENT CO. L.L.C  (CIK 0002010959),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010959,,REGISTRATION STATEMENT,,,
,Megan Holdings Ltd.  (CIK 0001995075),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1995075,,REGISTRATION STATEMENT,,,
,BGIN BLOCKCHAIN Ltd  (CIK 0001945565),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1945565,,REGISTRATION STATEMENT,,,
,Antharas Inc  (CIK 0002010218),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,2010218,,F-1/A,,,
,"Lomond Therapeutics Holdings, Inc.  (CIK 0001900520)",2025-08-01,2025-08-01,,,,IPO,sec_edgar,S-1,1900520,,AMENDMENT NO. 4 TO FORM S-1,,,
,"EON Resources Inc.  (EONR, EONR-WT)  (CIK 0001842556)",2025-08-01,2025-08-01,,,,IPO,sec_edgar,S-1,1842556,,REGISTRATION STATEMENT,,,
,Megan Holdings Ltd.  (CIK 0001995075),2025-08-01,2025-08-01,,,,IPO,sec_edgar,F-1,1995075,,REGISTRATION STATEMENT,,,
HUSA,HOUSTON AMERICAN ENERGY CORP  (HUSA)  (CIK 0001156041),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001156041,,S-1,N/A,,
