legacy_path,current_path,disposition,target_family,target_module,encoding_status,algorithm_fidelity,high_end_target,gap_class,evidence_surfaces,notes
README.md,README.md,absorbed,pipeline-and-collection,task-runner-and-market-contracts,ok,live-runtime-scope,stable-doc-index-and-ownership,missing-doc-topology,legacy-doc;stable-doc;code;tests,Root README was refreshed to point at stable docs and current runtime surfaces.
docs/2026-03-31-buy-sell-signal-audit.md,docs/audits/archive/2026-03-31-buy-sell-signal-audit.md,archived,signals,signal-engine-and-state,ok,legacy-or-partial-contract,absorbed-into-stable-docs,legacy-doc-placement,legacy-doc;stable-doc;code;tests,Moved out of live doc surfaces after stable docs absorbed the relevant intent.
docs/2026-03-31-invest-prototype-no-label-ai-augmentation-shortlist.md,docs/archive/raw-sources/docs/2026-03-31-invest-prototype-no-label-ai-augmentation-shortlist.md,archived,signals,signal-engine-and-state,ok,legacy-or-partial-contract,absorbed-into-stable-docs,legacy-doc-placement,legacy-doc;stable-doc;code;tests,Moved out of live doc surfaces after stable docs absorbed the relevant intent.
docs/audits/2026-04-02-cross-repo-intent-overlap-audit.md,docs/audits/2026-04-02-cross-repo-intent-overlap-audit.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,audit-reference,historical-context,dated-audit-or-plan,legacy-doc;stable-doc;code;tests,Useful context but not canonical runtime truth.
docs/superpowers/plans/2026-03-19-pipeline-remediation.md,docs/superpowers/plans/2026-03-19-pipeline-remediation.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,audit-reference,historical-context,dated-audit-or-plan,legacy-doc;stable-doc;code;tests,Useful context but not canonical runtime truth.
screeners/markminervini/pattern.md,docs/archive/raw-sources/screeners/markminervini/pattern.md,archived,markminervini,technical-and-pattern-screening,console-mojibake-observed,legacy-or-partial-contract,absorbed-into-stable-docs,encoding-drift,legacy-doc;stable-doc;code;tests,Moved out of live doc surfaces after stable docs absorbed the relevant intent.
screeners/qullamaggie/pattern.md,docs/archive/raw-sources/screeners/qullamaggie/pattern.md,archived,qullamaggie,core-screening,console-mojibake-observed,legacy-or-partial-contract,absorbed-into-stable-docs,encoding-drift,legacy-doc;stable-doc;code;tests,Moved out of live doc surfaces after stable docs absorbed the relevant intent.
screeners/qullamaggie/qullamaggie-algorithm.md,docs/archive/raw-sources/screeners/qullamaggie/qullamaggie-algorithm.md,archived,qullamaggie,core-screening,console-mojibake-observed,legacy-or-partial-contract,absorbed-into-stable-docs,encoding-drift,legacy-doc;stable-doc;code;tests,Moved out of live doc surfaces after stable docs absorbed the relevant intent.
docs/archive/raw-sources/PRD/leader stock/leader_lagging_multifactor_prd.md,docs/archive/raw-sources/PRD/leader stock/leader_lagging_multifactor_prd.md,absorbed,leader-lagging,leader-lagging-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/leader stock/leader_lagging_rs_screener_prd.md,docs/archive/raw-sources/PRD/leader stock/leader_lagging_rs_screener_prd.md,absorbed,leader-lagging,leader-lagging-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/Q style/qullamaggie_quant_screener_prd.md,docs/archive/raw-sources/PRD/Q style/qullamaggie_quant_screener_prd.md,absorbed,qullamaggie,core-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/Q style/qullamaggie_quant_screener_prd_v2.md,docs/archive/raw-sources/PRD/Q style/qullamaggie_quant_screener_prd_v2.md,absorbed,qullamaggie,core-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/stage2 analysis/weinstein_stage2_quant_screener_prd.md,docs/archive/raw-sources/PRD/stage2 analysis/weinstein_stage2_quant_screener_prd.md,absorbed,weinstein-stage2,stage2-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/VCP & cup and handle/minervini_vcp_cup_handle_quant_screener_prd.md,docs/archive/raw-sources/PRD/VCP & cup and handle/minervini_vcp_cup_handle_quant_screener_prd.md,absorbed,markminervini,technical-and-pattern-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/VCP & cup and handle/minervini_vcp_cup_handle_quant_screener_prd_v2.md,docs/archive/raw-sources/PRD/VCP & cup and handle/minervini_vcp_cup_handle_quant_screener_prd_v2.md,absorbed,markminervini,technical-and-pattern-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/PRD/VCP & cup and handle/user_vcp_cup_handle_notes_copy.md,docs/archive/raw-sources/PRD/VCP & cup and handle/user_vcp_cup_handle_notes_copy.md,absorbed,markminervini,technical-and-pattern-screening,ok,high-end-reference,stable-doc-design-input,research-spec-vs-live-runtime,legacy-doc;stable-doc;code;tests,Kept in place as operator material by repo rules; content is absorbed into stable docs as reference only.
docs/archive/raw-sources/Reference/guitar/ema principle.md,docs/archive/raw-sources/Reference/guitar/ema principle.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/Kelly formula.md,docs/archive/raw-sources/Reference/guitar/Kelly formula.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/Q-style plus.md,docs/archive/raw-sources/Reference/guitar/Q-style plus.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/exit-rules.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/exit-rules.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/importance-of-the-20sma.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/importance-of-the-20sma.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/jesse-top-detection-signals.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/jesse-top-detection-signals.md,reference-only,signals,signal-engine-and-state,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/leader-stock-rotation.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/leader-stock-rotation.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/momentum-entry-strategy.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/momentum-entry-strategy.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
