종목명,매수일,시장 진입가,비중(%),수익률(%),차익실현,손절매,수익보호,롱여부,현재가,최고가,최저가,트레일링 손절가
QBTS,2025-05-28,18.799999237060547,3.94%,0.00,없음,7.58,11.54,True,18.799999237060547,18.799999237060547,18.799999237060547,14.09999942779541
QUBT,2025-05-28,13.3100004196167,4.07%,0.00,없음,5.38,7.93,True,13.3100004196167,13.3100004196167,13.3100004196167,9.982500314712524
RGTI,2025-05-28,14.020000457763672,3.70%,0.00,없음,5.08,8.27,True,14.020000457763672,14.020000457763672,14.020000457763672,10.515000343322754
KDLY,2025-05-28,24.940000534057617,3.01%,0.00,없음,9.61,21.47,True,24.940000534057617,24.940000534057617,24.940000534057617,18.705000400543213
ASST,2025-05-28,10.460000038146973,2.33%,0.00,없음,1.32,6.98,True,10.460000038146973,10.460000038146973,10.460000038146973,7.8450000286102295
SEZL,2025-05-28,105.30999755859376,6.09%,0.00,없음,66.55,74.29,True,105.30999755859376,105.30999755859376,105.30999755859376,78.98249816894533
DAVE,2025-05-28,197.32000732421875,8.20%,0.00,없음,146.05,144.89,True,197.32000732421875,197.32000732421875,197.32000732421875,147.99000549316406
IONQ,2025-05-28,45.68999862670898,4.36%,0.00,없음,18.32,25.36,True,45.68999862670898,45.68999862670898,45.68999862670898,34.26749897003173
HSAI,2025-05-28,21.450000762939453,5.60%,0.00,없음,13.86,16.17,True,21.450000762939453,21.450000762939453,21.450000762939453,16.08750057220459
RKLB,2025-05-28,25.420000076293945,6.92%,0.00,없음,17.6,18.56,True,25.420000076293945,25.420000076293945,25.420000076293945,19.06500005722046
