종목명,매수일,매수가,비중(%),수익률,차익실현,손절매,수익보호,롱여부
SBET,2025-06-10,27.37,0.76,0.0,28.46 (4% 수익) 또는 3일 후 청산,-44.84,없음,True
ASST,2025-06-10,5.08,2.48,0.0,5.28 (4% 수익) 또는 3일 후 청산,0.98,없음,True
CAPT,2025-06-10,0.94,2.53,0.0,0.98 (4% 수익) 또는 3일 후 청산,0.2,없음,True
HOTH,2025-06-10,1.11,4.24,0.0,1.15 (4% 수익) 또는 3일 후 청산,0.58,없음,True
NAKA,2025-06-10,12.42,2.46,0.0,12.91 (4% 수익) 또는 3일 후 청산,2.33,없음,True
IMNN,2025-06-10,1.24,1.44,0.0,1.29 (4% 수익) 또는 3일 후 청산,-0.48,없음,True
LYRA,2025-06-10,17.13,1.88,0.0,17.81 (4% 수익) 또는 3일 후 청산,-1.07,없음,True
TOI,2025-06-10,2.42,6.25,0.0,2.51 (4% 수익) 또는 3일 후 청산,1.64,없음,True
CEP,2025-06-10,35.32,5.02,0.0,36.73 (4% 수익) 또는 3일 후 청산,21.25,없음,True
AGMH,2025-06-10,2.92,2.78,0.0,3.04 (4% 수익) 또는 3일 후 청산,0.82,없음,True
